Codigo,Numero,Titulo,CodigoAmbito,Ambito,Municipio,TiposNorma,IdTiposNorma,Tags
ACU 1/2020 ESP,1,"Acuerdo Multilateral RID 1/2020 en virtud de la Sección 1.5.1 del Reglamento del Transporte Internacional de Mercancías Peligrosas por Ferrocarril (RID), relativo a los certificados de consejeros de seguridad de conformidad con el punto 1.8.3.7 del RID, hecho en Madrid el 25 de marzo de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral RID 1/2020
ACU 11/6/2007 ESP,11/6/2007,"Entrada en vigor del Acuerdo entre el Reino de España y el Principado de Andorra sobre traslado y gestión de residuos, hecho en Madrid el 17 de octubre de 2006.", ESP,España,,M. Ambiente,[1],
ACU 17/10/2006 ESP,17/10/2006,"Aplicación provisional del Acuerdo entre el Reino de España y el Principado de Andorra sobre traslado y gestión de residuos, hecho en Madrid el 17 de octubre de 2006.", ESP,España,,M. Ambiente,[1],
ACU 19/11/2018 ESP,19/11/2018,Acuerdo de la Junta de Gobierno de la Confederación Hidrográfica del Segura celebrada el día 30 de octubre de 2018 sobre aplicación de indisponibilidad o reducción de dotaciones de acuerdo al Plan Especial de Sequía y al Real Decreto que la regula, ESP,España,,M. Ambiente,[1],
ACU 2/2020 ESP,2,"Acuerdo Multilateral RID 2/2020 en virtud de la Sección 1.5.1 del Reglamento del Transporte Internacional de Mercancías Peligrosas por Ferrocarril (RID), relativo a inspecciones periódicas o intermedias de cisternas de conformidad con los apartados 6.8.2.4.2, 6.8.2.4.3, 6.8.3.4.6, 6.8.3.4.12, 6.9.5.2 y 6.10.4 del RID, hecho en Madrid el 25 de marzo de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral RID 2/2020
ACU 2/7/2012 ESP,2/7/2012,"Entrada en vigor del Acuerdo entre el Reino de España y el Principado de Andorra sobre el traslado de residuos, hecho en Madrid el 29 de noviembre de 2011.", ESP,España,,M. Ambiente,[1],
ACU 26/6/2013 ESP,26/6/2013,"Acuerdo Multilateral RID 1/2013 en aplicación de la Sección 1.5.1 del Reglamento del Transporte Internacional de Mercancías Peligrosas por Ferrocarril (RID), relativo al cambio de referencia a la norma EN ISO/IEC 17020:2004 por la referencia a la norma EN ISO/IEC 17020:2012 (excepto cláusula 8.1.3), hecho en Madrid el 26 de junio de 2013.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral RID 1/2013
ACU 27/1/2000 ESP,27/1/2000,"Canje de Notas por el que se procede a la prórroga del mantenimiento en vigor del Acuerdo entre el Reino de España y el Principado de Andorra sobre traslado y gestión de residuos, hecho en Madrid el 27 de enero de 2000.", ESP,España,,M. Ambiente,[1],
ACU 29/11/2011 ESP,29/11/2011,"Aplicación provisional del Acuerdo entre el Reino de España y el Principado de Andorra sobre el traslado de residuos, hecho en Madrid el 29 de noviembre de 2011.", ESP,España,,M. Ambiente,[1],
ACU 29/7/2011 ESP,29/7/2011,"Plan de Acción de Ahorro y Eficiencia Energética  2011-2020, del 29 de julio de 2011 (IDAE)", ESP,España,,M. Ambiente / Seguridad Vial,[1][5],
ACU 3/2020 ESP,3,"Acuerdo Especial Multilateral RID 3/2020 en virtud de la Sección 1.5.1 del Reglamento del Transporte Internacional de Mercancías Peligrosas por Ferrocarril (RID), relativo a la inspección periódica y ensayo de recipientes a presión para el transporte de gases de la Clase 2, hecho en Madrid el 2 de abril de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU 30/4/2008 ESP,30/4/2008,"Acuerdo Multilateral RID 3/2007 en virtud de la Sección 1.5.1. del Reglamento del Transporte Internacional de Mercancías Peligrosas por Ferrocarril (RID), (publicado en el «Boletín Oficial del Estado» nº 59 de 9 de marzo de 2007) relativo al transporte de acuerdo con la disposición especial de embalaje PP1 de la instrucción de embalaje P001, hecho en Madrid el 30 de abril de 2008.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral RID 3/2007
ACU 4/2009 ESP,4,"Acuerdo Multilateral RID 4/2009 en virtud de la Sección 1.5.1. del Reglamento del Transporte Internacional de Mercancías Peligrosas por Ferrocarril (RID), (publicado en el «Boletín Oficial del Estado» n.º 59 de 9 de marzo de 2007) relativo a las placas naranja para fijarse al vagón transportista usado para el transporte carretera-ferrocarril (ferroutage), hecho en Madrid a 14 de junio de 2010.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral RID 4/2009
ACU 4/2020 ESP,4,"Acuerdo Especial Multilateral RID 4/2020 en virtud de la Sección 1.5.1 del Reglamento del Transporte Internacional de Mercancías Peligrosas por Ferrocarril (RID), sobre inspecciones periódicas o intermedias de cisternas portátiles y contenedores de gas de elementos múltiples (CGEM) certificados «UN» de acuerdo con los apartados 6.7.2.19.2, 6.7.3.15.2, 6.7.4.14.2 y 6.7.5.12.2 del RID, hecho en Madrid el 2 de abril de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU 8/2020 ESP,8,"Acuerdo Especial Multilateral RID 8.2020 en virtud de la sección 1.5.1 del RID, relativo a la inspección periódica y ensayo de recipientes a presión para el transporte de gases de la Clase 2, hecho en Madrid el 1 de diciembre de 2020", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-150 ESP,150,"Acuerdo Multilateral M-150 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre Transporte Internacional de Mercancías Peligrosas por Carretera (ADR) (publicado en el ""Boletín Oficial del Estado"" número 33 de 7 de febrero de 2003), relativo a la clasificación de contaminantes para el medio acuático y sus soluciones y mezclas (tales como preparados y residuos) que no se pueden asignar a entradas de las clases 1 a 8 o a otras de la clase 9, hecho en Madrid el 26 de abril de 2004.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-150
ACU M-159 ESP,159,"Acuerdo Multilateral M-159 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR) (publicado en el ""Boletín Oficial del Estado"" número 33, de 7 de febrero de 2003), relativo a las disposiciones técnicas relacionadas con la estabilidad lateral de vehículos cisterna, hecho en Madrid el 22 de julio de 2004.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-159
ACU M-168 ESP,168,"Acuerdo multilateral M-168 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR) (publicado en el «Boletín Oficial del Estado» núm. 18, de 21 de enero de 2005), relativo al transporte de productos farmaceúticos, listos para su consumo, hecho en Madrid el 21 de abril de 2004.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo multilateral M-168
ACU M-170 ESP,170,"Acuerdo Multilateral M-170 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR) (publicado en el «Boletín Oficial del Estado» número 18, de 21 de enero de 2005), relativo al transporte de peróxido de hidrógeno en solución acuosa (UN 2015) en cisternas portátiles cuyas características responden a la instrucción de transporte T9, hecho en Madrid el 10 de junio de 2005.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-170
ACU M-171 ESP,171,"Acuerdo Multilateral M-171 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR) sobre el transporte a granel en vehículos cubiertos de materias sólidas de las clases 6.1 y 8 del grupo de embalaje III, hecho en Madrid el 27 de enero de 2006.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-171
ACU M-173 ESP,173,"Acuerdo Multilateral M-173 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR) (publicado en el «Boletín Oficial del Estado» número 18 de 21 de enero de 2005), relativo a los Códigos LQ4 y LQ5 del 3.4.6, hecho en Madrid el 30 de diciembre de 2005.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-173
ACU M-175 ESP,175,"Acuerdo Multilateral M-175 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR) relativo al transporte de dióxido de carbono en botellas de hasta 500 ml, hecho en Madrid el 27 de enero de 2006.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-175
ACU M-177 2006 ESP,177,"Acuerdo multilateral ADR M-177 en virtud de la sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), publicado en el «Boletín Oficial del Estado» n.º 18, de 21 de enero de 2005, relativo al documento de transporte en operaciones de venta en ruta, hecho en Madrid el 23 de junio de 2006.", ESP,España,,M. Ambiente / Prevención,[1][2],
ACU M-178 2006 ESP,178,"Acuerdo Multilateral M-178 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), publicado en el «Boletín Oficial del Estado» número 18, de 21 de enero de 2005, relativo al idioma de las indicaciones a introducir en el documento de transporte, hecho en Madrid el 1 de marzo de 2006.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-178
ACU M-198 ESP,198,"Acuerdo Multilateral M-198 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre Transporte Internacional de mercancías peligrosas por carretera (ADR), (publicado en el «Boletín Oficial del Estado» n.º 182, de 29 de julio de 2009), relativo al número de remolques en una unidad de transportes por carretera, hecho en Madrid el 9 de febrero de 2010.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-198
ACU M-214 2010 ESP,214,"Acuerdo Multilateral M-214 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre Transporte Internacional de mercancías peligrosas por carretera (ADR), (publicado en el «Boletín Oficial del Estado» n.º 182, de 29-07-2009), relativo al sistema de frenado antibloqueo para remolque, hecho en Madrid el 15 de febrero de 2010.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-214
ACU M-218/2011 ESP,218,"Acuerdo Multilateral M-218, en virtud de la Sección 1.5.1 del Anexo A del Acuerdo Europeo sobre Transporte Internacional de mercancías peligrosas por carretera (ADR) (publicado en el «Boletín Oficial del Estado» número 182, de 29-07-2009), relativo al marcado (placas) de contenedores usados exclusivamente en una operación de transporte por carretera, hecho en Madrid el 19 de octubre de 2010.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-218
ACU M-226/2012 ESP,226,"Acuerdo Multilateral M-226 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR) (publicado en el «Boletín Oficial del Estado» número 164, de 11-07-2011), relativo al transporte de agentes desulfurizantes que contienen UN 1402 carburo cálcico de clase 4.3, grupo de embalaje I, hecho en Madrid el 3 de abril de 2012.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-226
ACU M-228/2014 ESP,228,"Acuerdo Multilateral M-228 en aplicación de la sección 1.5.1 del Anexo A del Acuerdo Europeo sobre transporte internacional de mercancías peligrosas por carretera (ADR), relativo al transporte de prototipos de pre-producción de grandes ensamblajes de baterías ion-litio (UN 3480), hecho en Madrid el 12 de marzo de 2014.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-228
ACU M-231 2011 ESP,231,"Acuerdo Multilateral M-231 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre Transporte Internacional de mercancías peligrosas por carretera (ADR) (publicado en el «Boletín Oficial del Estado» número 182, de 29-07-2009), relativo al transporte de productos químicos bajo presión, hecho en Madrid el 21 de julio de 2011.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-231
ACU M-236/2012 ESP,236,"Acuerdo Multilateral M-236 en virtud de la Sección 1.5.1 del Acuerdo Europeo sobre Transporte Internacional de Mercancías Peligrosas por Carretera (ADR), (publicado en el «Boletín Oficial del Estado» número 182, de 29-07-2009), relativo al documento de transporte en operaciones de venta en ruta, hecho en Madrid el 1 de agosto de 2011.", ESP,España,,M. Ambiente / Prevención,[1][2],Acuerdo Multilateral M-236
