Item_id,Item_Name,Fecha_publicacion,Materias,Alertas,Referencias,Referencias_completas,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/13/pdfs/BOE-A-2021-2147.pdf"";""BOE-A-2021-2147"")","Resolución de 1 de febrero de 2021, de la Dirección General de Industria y de la Pequeña y Mediana Empresa, por la que se publica la relación de normas UNE anuladas durante el mes de enero de 2021.",2021-02-13,Normalización,Tecnología e investigación,BOE-A-1996-2468,"DE CONFORMIDAD con el art. 11.f) del Reglamento aprobado por Real Decreto 2200/1995, de 28 de diciembre",Real Decreto 2200/1995,"RD 1072/2015 ESP, RD 2200/1995 ESP, RD 338/2010 ESP, RD 411/1997 ESP"
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/13/pdfs/BOE-A-2021-2153.pdf"";""BOE-A-2021-2153"")","Resolución de 2 de febrero de 2021, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula informe de impacto ambiental del proyecto Plan para la mejora de la seguridad de las comunicaciones en el Gasoducto BVV: Tramo Pos.31 (El Villar de Arnedo)-Pos.35 (Haro). La Rioja.",2021-02-13,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/13/pdfs/BOE-B-2021-6708.pdf"";""BOE-B-2021-6708"")",Anuncio de formalización de contratos de: ADIF - Presidencia. Objeto: Redacción del proyecto de legalización de las instalaciones de protección contra incendios de las estaciones de la Subdirección de Estaciones Este. Expediente: 4.20/30108.0170.,2021-02-13,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/13/pdfs/BOE-B-2021-6709.pdf"";""BOE-B-2021-6709"")",Anuncio de formalización de contratos de: ADIF - Presidencia. Objeto: Obras de ejecución de los proyectos de protección medioambiental en las instalaciones de combustible de Adif-Vigo Guixar y Adif-Ourense. Expediente: 3.20/23108.0016.,2021-02-13,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/13/pdfs/BOE-A-2021-2152.pdf"";""BOE-A-2021-2152"")","Resolución de 4 de febrero de 2021, de la Confederación Hidrográfica del Guadalquivir, O.A., por la que se publica el Convenio con la Empresa Metropolitana de Abastecimiento y Saneamiento de Aguas de Sevilla, SA, para la construcción, financiación, puesta en funcionamiento y entrega de infraestructuras hidráulicas necesarias para la adecuación del tratamiento de las EDAR de Sevilla para el vertido a zona sensible en el entorno Doñana-Colector Emisario Puerto/EBAP Tamarguillo.",2021-02-13,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/13/pdfs/BOE-A-2021-2146.pdf"";""BOE-A-2021-2146"")","Resolución de 1 de febrero de 2021, de la Dirección General de Industria y de la Pequeña y Mediana Empresa, por la que se someten a información pública los proyectos de normas europeas e internacionales que han sido tramitados como proyectos de norma UNE por la Asociación Española de Normalización, correspondientes al mes de enero de 2021.",2021-02-13,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/13/pdfs/BOE-A-2021-2150.pdf"";""BOE-A-2021-2150"")","Resolución de 5 de febrero de 2021, de la Subsecretaría, por la que se publica el Convenio de asistencia jurídica entre la Abogacía General del Estado-Dirección del Servicio Jurídico del Estado y Puerto Seco de Madrid, SA, SME.",2021-02-13,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/13/pdfs/BOE-A-2021-2144.pdf"";""BOE-A-2021-2144"")","Resolución de 1 de febrero de 2021, de la Dirección General de Industria y de la Pequeña y Mediana Empresa, por la que se publica la relación de normas UNE aprobadas por la Asociación Española de Normalización, durante el mes de enero de 2021.",2021-02-13,Normalización,Tecnología e investigación,BOE-A-1996-2468,"DE CONFORMIDAD con el art. 11.f) del Reglamento aprobado por Real Decreto 2200/1995, de 28 de diciembre",Real Decreto 2200/1995,"RD 1072/2015 ESP, RD 2200/1995 ESP, RD 338/2010 ESP, RD 411/1997 ESP"
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/13/pdfs/BOE-A-2021-2145.pdf"";""BOE-A-2021-2145"")","Resolución de 1 de febrero de 2021, de la Dirección General de Industria y de la Pequeña y Mediana Empresa, por la que se someten a información pública los proyectos de norma UNE que la Asociación Española de Normalización tiene en tramitación, correspondientes al mes de enero de 2021.",2021-02-13,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/13/pdfs/BOE-A-2021-2151.pdf"";""BOE-A-2021-2151"")","Resolución de 8 de febrero de 2021, de la Gerencia del Consejo de Administración del Patrimonio Nacional, por la que se publica el Convenio con el Ayuntamiento de Madrid, para regular los nuevos accesos al Palacio Real de Madrid y Parque del Campo del Moro.",2021-02-13,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/13/pdfs/BOE-A-2021-2155.pdf"";""BOE-A-2021-2155"")","Resolución de 10 de febrero de 2021, del Instituto de Contabilidad y Auditoría de Cuentas, por la que se dictan normas de registro, valoración y elaboración de las cuentas anuales para el reconocimiento de ingresos por la entrega de bienes y la prestación de servicios.",2021-02-13,"Activos financieros, Auditoría de Cuentas, Comercio, Contabilidad, Contratos, Instituto de Contabilidad y Auditoría de Cuentas, Venta","Comercio, Derecho Mercantil, Sistema financiero","BOE-A-1992-1086, BOE-A-2010-14621, BOE-A-2007-19884","DEROGA la Resolución de 16 de mayo de 1991, DE CONFORMIDAD con la disposición final 3 del Real Decreto 1159/2010, de 17 de septiembre, DE CONFORMIDAD con la disposición final 3 del Real Decreto 1514/2007, de 16 de noviembre","Real Decreto 1514/2007, Real Decreto 1159/2010, Resolución de 16 de mayo de 1991",RD 602/2016 ESP
