Item_id,Item_Name,Fecha_publicacion,Materias,Alertas,Referencias,Referencias_completas,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-B-2021-7039.pdf"";""BOE-B-2021-7039"")","Anuncio de formalización de contratos de: Dirección General del Instituto Nacional de las Artes Escénicas y de la Música. Objeto: CDN - Representaciones de la obra ""Los Remedios"" en la Sala Princesa del Teatro María Guerrero desde el 19 de marzo al 18 de abril de 2021. Expediente: 2021AC000009.",2021-02-15,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-B-2021-7038.pdf"";""BOE-B-2021-7038"")",Anuncio de formalización de contratos de: Presidencía del Centro de Investigaciones Sociológicas. Objeto: Servicio de vigilancia y seguridad del Centro de Investigaciones Sociológicas. Expediente: 2020.33.,2021-02-15,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-B-2021-7028.pdf"";""BOE-B-2021-7028"")",Anuncio de formalización de contratos de: Intendente de San Fernando. Objeto: Redacción de Proyecto Básico y de Ejecución de Nave para la Realización de ITV en PAN 3 del Arsenal de Cádiz. Expediente: 37543/20/0414/00 (2020/AR43U/00001979).,2021-02-15,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-B-2021-7029.pdf"";""BOE-B-2021-7029"")",Anuncio de formalización de contratos de: Intendente de San Fernando. Objeto: Revisión y Reparación de Instrumentos Musicales de la Unidad de Música del Tercio Sur. Expediente: 37543/20/0415/00 (2020/AR43U/00001980).,2021-02-15,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2168.pdf"";""BOE-A-2021-2168"")","Orden CUD/123/2021, de 9 de febrero, por la que se establece la obligatoriedad de comunicaciones y notificaciones por medios electrónicos en el procedimiento de concesión de las ayudas para la modernización e innovación de las industrias culturales y creativas mediante proyectos digitales y tecnológicos.",2021-02-15,"Administración electrónica, Ayudas, Cultura, Ministerio de Cultura y Deporte, Notificaciones telemáticas","Administración electrónica, Cultura y ocio",BOE-A-2015-10565,"DE CONFORMIDAD con la Ley 39/2015, de 1 de octubre",Ley 39/2015,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2291.pdf"";""BOE-A-2021-2291"")","Resolución de 4 de febrero de 2021, de la Dirección General de Trabajo, por la que se registra y publica el Acuerdo sobre complemento retributivo para 2020 del personal de administración y servicios de los centros educativos concertados de la Comunidad Autónoma de La Rioja, derivado del VI Convenio colectivo de las empresas de enseñanza privada sostenidas total o parcialmente con fondos públicos.",2021-02-15,"Centros de enseñanza privada, Convenios colectivos, La Rioja, Negociación colectiva",,"BOE-A-2015-11430, BOE-A-2010-9274, BOE-A-2013-9028","DE CONFORMIDAD con el art. 90.2 y 3, de la Ley del Estatuto de los Trabajadores, texto refundido aprobado por Real Decreto Legislativo 2/2015, de 23  de octubre, DE CONFORMIDAD con el Real Decreto 713/2010, de 28 de mayo, EN RELACIÓN con el Convenio publicado por Resolución de 30 de julio de 2013","Real Decreto 713/2010, Real Decreto Legislativo 2/2015, Resolución de 30 de julio de 2013",RDG 2/2015 ESP
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2285.pdf"";""BOE-A-2021-2285"")","Resolución de 8 de febrero de 2021, de la Secretaría General Técnica, por la que se publica el Convenio entre la Secretaría General de Instituciones Penitenciarias y el Ayuntamiento de Bétera, para el cumplimiento de penas de trabajos en beneficio de la comunidad.",2021-02-15,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2284.pdf"";""BOE-A-2021-2284"")","Resolución de 8 de febrero de 2021, de la Secretaría General Técnica, por la que se publica el Convenio entre la Dirección General de la Policía y el Instituto Lectura Fácil, para el fomento y promoción de la accesibilidad cognitiva, la lectura fácil y el lenguaje claro en la Policía Nacional.",2021-02-15,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2290.pdf"";""BOE-A-2021-2290"")","Resolución de 12 de diciembre de 2020, de la Dirección de Seguridad de Aeropuertos y Navegación Aérea de la Agencia Estatal de Seguridad Aérea, por la que se acredita el cumplimiento de las normas técnicas de seguridad operacional y se autoriza la apertura al tráfico del aeródromo de Tinajeros (Albacete).",2021-02-15,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/15/pdfs/BOE-A-2021-2279.pdf"";""BOE-A-2021-2279"")","Resolución de 2 de febrero de 2021, de la Dirección General para el Servicio Público de Justicia, por la que se emplaza a los interesados en el recurso contencioso-administrativo 609/2020, interpuesto ante la Audiencia Nacional, Sala de lo Contencioso-Administrativo, Sección Tercera.",2021-02-15,,,,,,
