Item_id,Item_Name,Fecha_publicacion,Materias,Alertas,Referencias,Referencias_completas,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/26/pdfs/BOE-A-2021-3067.pdf"";""BOE-A-2021-3067"")","Resolución de 19 de febrero de 2021, de la Dirección General de Políticas Palanca para el Cumplimiento de la Agenda 2030, por la que se publica el Convenio Marco entre la Secretaría de Estado para la Agenda 2030 y la Red Española para el Desarrollo Sostenible, destinado a lograr una mayor sensibilización y concienciación de la sociedad española sobre los Objetivos de Desarrollo Sostenible de la Agenda 2030.",2021-02-26,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/26/pdfs/BOE-A-2021-3073.pdf"";""BOE-A-2021-3073"")","Resolución de 15 de diciembre de 2020, de la Universidad Rey Juan Carlos, por la que se publica el plan de estudios de Máster Universitario en Aspectos Clínicos y Básicos del Dolor (Master conjunto de la Universidad Rey Juan Carlos y la Universidad de Cantabria).",2021-02-26,"Asistencia sanitaria, Medicina, Planes de estudios, Universidad Rey Juan Carlos",,"BOE-A-2007-18770, BOE-A-2001-24515, BOE-A-2016-6506","DE CONFORMIDAD con los arts. 26 y 28 del Real Decreto 1393/2007, de 29 de octubre, DE CONFORMIDAD con el art. 35.4 de la Ley Orgánica 6/2001, de 21 de diciembre, CITA Resolución de 24 de junio de 2016","Resolución de 24 de junio de 2016, Real Decreto 1393/2007",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/26/pdfs/BOE-A-2021-3072.pdf"";""BOE-A-2021-3072"")","Resolución de 15 de diciembre de 2020, de la Universidad Rey Juan Carlos, por la que se publica el plan de estudios de Máster Universitario en Arquitectura.",2021-02-26,"Arquitectura, Planes de estudios, Universidad Rey Juan Carlos",,"BOE-A-2001-24515, BOE-A-2017-807","DE CONFORMIDAD con el art. 35 de la Ley Orgánica 6/2001, de 21 de diciembre, CITA Resolución de 18 de enero de 2017",Resolución de 18 de enero de 2017,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/26/pdfs/BOE-A-2021-3066.pdf"";""BOE-A-2021-3066"")","Resolución de 19 de febrero de 2021, de la Dirección General de Consumo, por la que se publica el Convenio con la Comunidad de Madrid, para la constitución de la Junta Arbitral de Consumo de la Comunidad de Madrid.",2021-02-26,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/26/pdfs/BOE-A-2021-3058.pdf"";""BOE-A-2021-3058"")","Resolución de 11 de febrero de 2021, de la Secretaría General Técnica-Secretariado del Gobierno, por la que se remite el expediente administrativo y se emplaza a los interesados en el recurso contencioso-administrativo 1/2021, interpuesto ante el Tribunal Supremo, Sala de lo Contencioso-Administrativo, Sección Tercera.",2021-02-26,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/26/pdfs/BOE-A-2021-3070.pdf"";""BOE-A-2021-3070"")","Resolución de 15 de diciembre de 2020, de la Universidad Rey Juan Carlos, por la que se publica el plan de estudios de Graduado o Graduada en Recursos Hídricos.",2021-02-26,"Aguas, Geología, Planes de estudios, Universidad Rey Juan Carlos",,"BOE-A-2007-18770, BOE-A-2001-24515, BOE-A-2021-903","DE CONFORMIDAD con los arts. 26 y 28 del Real Decreto 1393/2007, de 29 de octubre, DE CONFORMIDAD con el art. 35 de la Ley Orgánica 6/2001, de 21 de diciembre, CITA Resolución de 14 de enero de 2021","Real Decreto 1393/2007, Resolución de 14 de enero de 2021",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/26/pdfs/BOE-A-2021-3064.pdf"";""BOE-A-2021-3064"")","Resolución de 23 de febrero de 2021, de la Dirección General del Tesoro y Política Financiera, por la que se publica el Convenio entre el Banco de España y la Comisión de Prevención del Blanqueo de Capitales e Infracciones Monetarias, para el ejercicio de las competencias relativas al régimen económico, presupuestario y de contratación del Servicio Ejecutivo de la Comisión.",2021-02-26,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/26/pdfs/BOE-A-2021-3065.pdf"";""BOE-A-2021-3065"")","Resolución de 14 de febrero de 2021, de la Secretaría de Estado de Sanidad, por la que se publica el Convenio con la Comunidad Autónoma de Galicia, sobre la cesión de datos del formulario de control sanitario, gestionado a través de la aplicación Spain Travel Health.",2021-02-26,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/26/pdfs/BOE-A-2021-3071.pdf"";""BOE-A-2021-3071"")","Resolución de 15 de diciembre de 2020, de la Universidad Rey Juan Carlos, por la que se publica el plan de estudios de Máster Universitario en Análisis Económico del Derecho y Gestión Pública.",2021-02-26,"Derecho, Economía, Gestión y Administración Pública, Planes de estudios, Universidad Rey Juan Carlos",,"BOE-A-2007-18770, BOE-A-2001-24515, BOE-A-2019-18019","DE CONFORMIDAD con los arts. 26 y 28 del Real Decreto 1393/2007, de 29 de octubre, DE CONFORMIDAD con el art. 35.4 de la Ley Orgánica 6/2001, de 21 de diciembre, CITA Resolución de 3 de diciembre de 2019","Resolución de 3 de diciembre de 2019, Real Decreto 1393/2007",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/02/26/pdfs/BOE-A-2021-3059.pdf"";""BOE-A-2021-3059"")","Resolución de 11 de febrero de 2021, de la Secretaría General Técnica-Secretariado del Gobierno, por la que se remite el expediente administrativo y se emplaza a los interesados en el recurso contencioso-administrativo 2/2021, interpuesto ante el Tribunal Supremo, Sala de lo Contencioso-Administrativo, Sección Tercera.",2021-02-26,,,,,,
