Item_id,Item_Name,Fecha_publicacion,Materias,Alertas,Referencias,Referencias_completas,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/12/pdfs/BOE-A-2021-3926.pdf"";""BOE-A-2021-3926"")","Resolución de 27 de enero de 2021, de la Universidad Europea de Canarias, por la que se publica el plan de estudios de Máster Universitario en Prevención de Riesgos Laborales.",2021-03-12,"Canarias, Planes de estudios, Seguridad e higiene en el trabajo, Universidades",,BOE-A-2021-901,CITA Resolución de 14 de enero de 2021,Resolución de 14 de enero de 2021,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/12/pdfs/BOE-A-2021-3932.pdf"";""BOE-A-2021-3932"")","Resolución de 10 de febrero de 2021, de la Universidad Católica Santa Teresa de Jesús de Ávila, por la que se publica el plan de estudios de Máster Universitario en Psicología General Sanitaria.",2021-03-12,"Planes de estudios, Psicología, Universidad Católica Santa Teresa de Jesús de Ávila",,"BOE-A-2001-24515, BOE-A-2021-901","DE CONFORMIDAD con el art. 35.4 de la Ley Orgánica 6/2001, de 21 de diciembre, CITA Resolución de 14 de enero de 2021","Resolución de 14 de enero de 2021, Ley Orgánica 6/2001",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/12/pdfs/BOE-A-2021-3933.pdf"";""BOE-A-2021-3933"")","Resolución de 10 de febrero de 2021, de la Universidad Católica Santa Teresa de Jesús de Ávila, por la que se publica el plan de estudios de Máster Universitario en Terapia Manual del Sistema Musculoesquelético.",2021-03-12,"Fisioterapia, Planes de estudios, Universidad Católica Santa Teresa de Jesús de Ávila",,"BOE-A-2001-24515, BOE-A-2021-901","DE CONFORMIDAD con con el art. 35 de la Ley Orgánica 6/2001, de 21 de diciembre, CITA Resolución de 14 de enero de 2021","Resolución de 14 de enero de 2021, Ley Orgánica 6/2001",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/12/pdfs/BOE-A-2021-3927.pdf"";""BOE-A-2021-3927"")","Resolución de 27 de enero de 2021, de la Universidad Pompeu Fabra, por la que se publica el plan de estudios de Graduado o Graduada en Ingeniería de Organización Industrial.",2021-03-12,"Ingenieros Industriales, Planes de estudios, Universidad Pompeu Fabra",,"BOE-A-2001-24515, BOE-A-2019-6032","DE CONFORMIDAD con el art. 35 de la Ley Orgánica 6/2001, de 21 de diciembre, CITA Resolución de 4 de abril de 2019","Ley Orgánica 6/2001, Resolución de 4 de abril de 2019",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/12/pdfs/BOE-A-2021-3931.pdf"";""BOE-A-2021-3931"")","Resolución de 27 de enero de 2021, de la Universidad Pompeu Fabra, por la que se publica el plan de estudios de Máster Universitario en Estudios en Asia-Pacífico en un Contexto Global/Master in Asian-Pacific Studies in a Global Context.",2021-03-12,"Asia, Planes de estudios, Universidad Pompeu Fabra",,BOE-A-2019-12450,CITA Resolución de 19 de agosto de 2019,Resolución de 19 de agosto de 2019,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/12/pdfs/BOE-A-2021-3925.pdf"";""BOE-A-2021-3925"")","Resolución de 11 de marzo de 2021, del Banco de España, por la que se publican los cambios del euro correspondientes al día 11 de marzo de 2021, publicados por el Banco Central Europeo, que tendrán la consideración de cambios oficiales, de acuerdo con lo dispuesto en el artículo 36 de la Ley 46/1998, de 17 de diciembre, sobre la Introducción del Euro.",2021-03-12,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/12/pdfs/BOE-A-2021-3919.pdf"";""BOE-A-2021-3919"")","Resolución de 5 de marzo de 2021, de la Subsecretaría, por la que se publica la Adenda al Convenio de asistencia jurídica entre la Abogacía General del Estado-Dirección del Servicio Jurídico del Estado y el Consorcio de la Ciudad de Cuenca.",2021-03-12,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/12/pdfs/BOE-A-2021-3892.pdf"";""BOE-A-2021-3892"")","Acuerdo de 3 de marzo de 2021, de la Comisión Permanente del Consejo General del Poder Judicial, por el que se atribuye, en virtud de lo previsto en el artículo 98.1 de la Ley Orgánica del Poder Judicial, al Juzgado de Primera Instancia número 16 de Bilbao, de nueva creación, de manera exclusiva, el conocimiento de los asuntos relacionados con los títulos IV y VII del Libro I del Código Civil, así como de todos los asuntos relacionados con el derecho de familia que le sean asignados por las leyes, e igualmente los relativos a la disolución y liquidación del régimen económico matrimonial, del mismo modo que los Juzgados de Primera Instancia números 5 y 6 del partido judicial de Bilbao.",2021-03-12,"Administración de Justicia, Bizkaia, Código Civil, Juzgados de Primera Instancia, Reparto de asuntos","Administración de Justicia, Derecho Civil",BOE-A-1985-12666,"DE CONFORMIDAD con el art. 98.2 de la Ley Orgánica 6/1985, de 1 de julio",Ley Orgánica 6/1985,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/12/pdfs/BOE-A-2021-3893.pdf"";""BOE-A-2021-3893"")","Resolución de 16 de febrero de 2021, de la Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo, por la que se publica el Convenio de Contribución de la Unión Europea, para financiar la ejecución de la acción: ""Resiliencia y crecimiento económico en la Franja de Gaza en el sector de la agricultura"".",2021-03-12,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/12/pdfs/BOE-A-2021-3918.pdf"";""BOE-A-2021-3918"")","Resolución de 5 de marzo de 2021, de la Subsecretaría, por la que se publica el Convenio entre el Consorcio de Compensación de Seguros, la Unión Española de Entidades Aseguradoras y Reaseguradoras y el Instituto Nacional de Gestión Sanitaria, para la atención de lesionados en accidente de tráfico mediante servicios de emergencias sanitarias para los ejercicios 2021-2023 en el ámbito de la sanidad pública.",2021-03-12,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/12/pdfs/BOE-A-2021-3924.pdf"";""BOE-A-2021-3924"")","Resolución de 18 de febrero de 2021, del Instituto Social de la Marina, por la que se homologa para la impartición de formación sanitaria específica inicial en modalidad itinerante, así como sus actualizaciones, al centro Chárter y Prácticas Náuticas, SL.",2021-03-12,,,,,,
