Item_id,Item_Name,Fecha_publicacion,Materias,Alertas,Referencias,Referencias_completas,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13860.pdf"";""BOE-B-2021-13860"")",Anuncio de licitación de: ADIF Alta Velocidad - Presidencia. Objeto: Servicio de reposición de cable de energía a 750 v en el tramo Alcover-Vilafranca de la línea de Alta Velocidad Madrid-Barcelona-Figueres. Expediente: 3.21/20810.0007.,2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13874.pdf"";""BOE-B-2021-13874"")","Anuncio de formalización de contratos de: TGSS-Dirección provincial de Lugo. Objeto: Suministro de 100.000 mascarillas FFP2 con certificado de la C.E., para el personal de la Seguridad Social (INSS/TGSS) de Lugo. Expediente: 27UC2/21T.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4481.pdf"";""BOE-A-2021-4481"")","Resolución de 3 de marzo de 2021, de la Secretaría General de Coordinación Territorial, por la que se publica el Acuerdo de la Comisión de Cooperación entre la Comunidad de Castilla y León y el Estado, en relación con la Ley 2/2020, de 24 de noviembre, de modificación del texto refundido de las normas legales vigentes en materia de condiciones de acceso y disfrute de la prestación esencial de renta garantizada de ciudadanía de Castilla y León, aprobado por el Decreto Legislativo 1/2019, de 10 de enero.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4495.pdf"";""BOE-A-2021-4495"")","Sala Segunda. Sentencia 20/2021, de 15 de febrero de 2021. Recurso de amparo 6839-2018. Promovido por doña Silvia Cazorla Úbeda respecto de las resoluciones dictadas por un juzgado de primera instancia de Sabadell en juicio verbal de desahucio. Vulneración del derecho a la tutela judicial sin indefensión: emplazamiento mediante edictos sin apurar las posibilidades de comunicación personal (STC 62/2020).",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4494.pdf"";""BOE-A-2021-4494"")","Sala Primera. Sentencia 19/2021, de 15 de febrero de 2021. Recurso de amparo 6348-2018. Promovido por la Universidad Católica de Valencia San Vicente Mártir en relación con la Orden 24/2016, de 10 de junio, por la que se establecen las bases reguladoras para la concesión de becas para el alumnado que vaya a finalizar sus estudios universitarios en universidades públicas de la Comunitat Valenciana, y la Resolución de 11 de julio de 2016, de la Consellería de Educación, Investigación, Cultura y Deporte, por la que se convocan becas para el alumnado que vaya a finalizar sus estudios universitarios en las universidades públicas de la Comunidad Valenciana durante el curso 2016/2017, y las resoluciones dictadas por las salas de lo contencioso-administrativo del Tribunal Supremo y del Tribunal Superior de Justicia de la Comunidad Valenciana desestimando la impugnación de dicha orden. Vulneración del derecho a la igualdad en relación con el derecho a la creación de centros docentes: nulidad de los preceptos reglamentarios que limitan el disfrute de becas a los alumnos matriculados en universidades públicas integrantes del sistema universitario valenciano (STC 191/2020). Votos particulares.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4480.pdf"";""BOE-A-2021-4480"")","Resolución de 3 de marzo de 2021, de la Secretaría General de Coordinación Territorial, por la que se publica el Acuerdo de la Comisión Bilateral de Cooperación Administración del Estado-Administración de la Comunidad Autónoma del País Vasco, en relación con la Ley 11/2019, de 20 de diciembre, de Cooperativas de Euskadi.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13861.pdf"";""BOE-B-2021-13861"")",Anuncio de licitación de: ADIF - Presidencia. Objeto: Servicio de limpieza de dependencias. Circulación Cabecera Sur. Expediente: 2.21/46504.0004.,2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4509.pdf"";""BOE-A-2021-4509"")","Pleno. Sentencia 34/2021, de 17 de febrero de 2021. Recurso de amparo 1640-2020. Promovido por doña Meritxell Borràs i Solé respecto de la sentencia de la Sala de lo Penal del Tribunal Supremo que la condenó por un delito de desobediencia. Supuesta vulneración de los derechos a la tutela judicial efectiva (resolución fundada en Derecho), al juez ordinario predeterminado por la ley y a la doble instancia penal: competencia objetiva de la Sala de lo Penal del Tribunal Supremo para la investigación y enjuiciamiento de la causa que tiene incuestionable base legal explícita; limitación fundada del derecho a la doble instancia cuando la resolución ha sido dictada por el órgano jurisdiccional superior en todos los órdenes.",2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-B-2021-13863.pdf"";""BOE-B-2021-13863"")",Anuncio de licitación de: Comité Ejecutivo de la Mancomunidad de los Canales del Taibilla. Objeto: Proyecto 03/19 de mejora de la regulación de caudales en el Canal del Segura (Mu/Bullas). Expediente: O-03/19-04.,2021-03-22,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/22/pdfs/BOE-A-2021-4469.pdf"";""BOE-A-2021-4469"")","Resolución de 2 de marzo de 2021, del Centro de Estudios y Experimentación de Obras Públicas, por la que se publican las cuentas anuales del ejercicio 2019 y el informe de auditoría.",2021-03-22,,,,,,
