Item_id,Item_Name,Fecha_publicacion,Materias,Alertas,Referencias,Referencias_completas,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14316.pdf"";""BOE-B-2021-14316"")",Anuncio de formalización de contratos de: Gerencia de Atención Sanitaria del Instituto Nacional de Gestión Sanitaria en Ceuta. Objeto: Medicamentos exclusivos de la mercantil Roche para el Area Sanitaria de Ceuta. Expediente: P.N.S.P/2021/001/GCE-AE.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14302.pdf"";""BOE-B-2021-14302"")",Anuncio de formalización de contratos de: ADIF - Presidencia. Objeto: Suministro de mascarillas autofiltrantes tipo FFP2 (SUM 003/20). Expediente: 2.20/04110.0180.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14289.pdf"";""BOE-B-2021-14289"")",Resolución de la Delegación de Economía y Hacienda en Ourense de convocatoria de procedimiento de enajenación en pública subasta de 20 lotes de fincas propiedad de la Administración General del Estado.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14288.pdf"";""BOE-B-2021-14288"")",Anuncio de formalización de contratos de: Delegación Especial de la Agencia Estatal de Administración Tributaria en Murcia. Objeto: Trabajos de mantenimiento y conservación de jardinería de la Delegación AEAT de Cartagena. Expediente: 21B30001700.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14303.pdf"";""BOE-B-2021-14303"")","Anuncio de la Entidad Pública Empresarial Administrador de Infraestructuras Ferroviarias (ADIF), por el que se comunican las nuevas fechas del procedimiento de contratación de las ""Obras de ejecución del proyecto de construcción de rehabilitación de trincheras L/ Monforte de Lemos-Bifurcación. Chapela Pp.Kk. 51/030-51/130, 68/100-68/300 L/ Guillarei-Valença Do Minho PP.KK. 4/172-4/703"". (Expediente: 3.20/27507.0189).",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14317.pdf"";""BOE-B-2021-14317"")","Anuncio de formalización de contratos de: Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P. Objeto: Suministro e instalación de un espectrómetro de masas de reacción de transferencia de protones basado en tecnología de tiempo de vuelo, destinado al Instituto de Diagnóstico Ambiental y Estudios del Agua. Expediente: 2158/21.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14301.pdf"";""BOE-B-2021-14301"")",Anuncio de licitación de: Dirección de la Agencia Estatal de Seguridad Ferroviaria. Objeto: Apoyo técnico a la redacción de normativa en el marco del TC 250/SC1/WG3 y del TC 256/WG10/SG3 del CEN así como de la EUAR. Expediente: 202101000001.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14315.pdf"";""BOE-B-2021-14315"")",Anuncio de formalización de contratos de: Gerencia de Atención Sanitaria del Instituto Nacional de Gestión Sanitaria en Ceuta. Objeto: Suministro de medicamentos corticosteroides a los Servicios de Farmacia dependientes de la Gerencia de Atención Sanitaria de Ceuta. Expediente: P.A./2020/020/GCE-AE.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14314.pdf"";""BOE-B-2021-14314"")",Anuncio de formalización de contratos de: Junta de Contratación del Ministerio de Cultura y Deporte. Objeto: Mantenimiento de los elementos y sistemas de seguridad contra robo e intrusión y de protección contra incendios en los museos estatales y otros centros dependientes de la Dirección General de Bellas Artes. Expediente: J200034.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14300.pdf"";""BOE-B-2021-14300"")",Anuncio de formalización de contratos de: ADIF - Presidencia. Objeto: Suministro e instalación de equipamiento para los Sistemas de Información al Viajero (SIV) de la Jefatura de Estaciones Madrid Sur. Expediente: 2.20/30108.0145.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14304.pdf"";""BOE-B-2021-14304"")","Anuncio de la Entidad Pública Empresarial Administrador de Infraestructuras Ferroviarias (ADIF), por el que se comunica la nueva fecha de apertura de ofertas económicas del procedimiento de contratación ""Soporte y mantenimiento de licencias ESRI"". (Expediente: 2.20/41110.0540).",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14310.pdf"";""BOE-B-2021-14310"")","Anuncio de licitación de: Presidencia de la Confederación Hidrográfica del Ebro. Objeto: Servicios relativos a actuaciones técnicas en expedientes de inscripciones, autorizaciones y concesiones de Dominio Público Hidráulico (aguas subterráneas). Expediente: 012/21-S.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14311.pdf"";""BOE-B-2021-14311"")","Anuncio de formalización de contratos de: Gerencia de Infraestructuras y Equipamientos de Cultura O.A. Objeto: Servicio para la dirección facultativa y coordinación de seguridad y salud de las obras, conforme a la fase 1, de instalación de climatización de los depósitos y mejora de las condiciones de protección ante el fuego de la Biblioteca Pública del Estado en Cádiz. Expediente: 20/149 SE.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14305.pdf"";""BOE-B-2021-14305"")",Anuncio de licitación de: Presidencia del Consejo de Administración de la Autoridad Portuaria de Barcelona (PORT DE BARCELONA). Objeto: Seguro de vehículos terrestres de la Autoridad Portuaria de Barcelona. Expediente: 2021-00074.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14313.pdf"";""BOE-B-2021-14313"")","Anuncio de formalización de contratos de: Gerencia de Infraestructuras y Equipamientos de Cultura O.A. Objeto: Servicio para la Dirección Facultativa completa (Dirección de obra, Dirección de Ejecución de Obra y Coordinación de Seguridad y Salud en fase de ejecución), de las obras de rehabilitación del saneamiento del antiguo edificio de Tabacalera en Madrid. Expediente: 20/163 SE.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14307.pdf"";""BOE-B-2021-14307"")","Anuncio de formalización de contratos de: Instituto Nacional de Seguridad y Salud en el Trabajo O.A. M.P. (INSST). Objeto: PAs 9-20 Creación de una estrategia de comunicación especialmente enfocada al uso de las redes sociales (twitter y youtube) y el seguimiento de la implantación de dicha estrategia en el marco de la campaña del INSST sobre seguridad laboral ""Trabajos en cubiertas: lo importante es bajar con vida"". Expediente: 4143-20.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14298.pdf"";""BOE-B-2021-14298"")",Anuncio de licitación de: ADIF - Presidencia. Objeto: Ejecución de las obras del proyecto constructivo para la rehabilitación del cable de energía de 2200v entre Covas y Monforte de Lemos Línea León-A Coruña. Expediente: 3.20/27507.0191.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14299.pdf"";""BOE-B-2021-14299"")","Anuncio de licitación de: ADIF-Presidencia. Objeto: Asistencia técnica para el control y vigilancia de las obras de la subestación eléctrica de tracción de Oural, centros de autotransformación y telemando de energía del tramo Ourense-Monforte de Lemos-Lugo. Expediente: 3.20/27507.0006.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14306.pdf"";""BOE-B-2021-14306"")",Anuncio de formalización de contratos de: Junta de Contratación del Ministerio de Educación y Formación Profesional. Objeto: Servicio de adquisición de licencias de uso de una aplicación web que permita efectuar la gestión académica y económica de los centros de titularidad del Estado Español y ALCE en el exterior. Expediente: J200008.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-B-2021-14312.pdf"";""BOE-B-2021-14312"")",Anuncio de formalización de contratos de: Dirección General de Bellas Artes. Objeto: Obras de consolidación y restauración del tramo de muralla en el barrio de San Gil en Atienza (Guadalajara). Expediente: MS200028.,2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4569.pdf"";""BOE-A-2021-4569"")","Real Decreto 174/2021, de 23 de marzo, por el que se establece el título de Técnico Superior en Formación para la movilidad segura y sostenible y se fijan los aspectos básicos del currículo.",2021-03-24,"Catálogo Nacional de Cualificaciones Profesionales, Circulación vial, Currículo, Enseñanza de Formación Profesional, Formación profesional, Seguridad vial, Títulos académicos y profesionales, Transportes","Educación y enseñanza, Transportes y tráfico","BOE-A-2011-13118, BOE-A-2006-7899, BOE-A-2002-12018","DE CONFORMIDAD con el art. 9 del Real Decreto 1147/2011, de 29 de julio, DE CONFORMIDAD con el art. 39.6 de la Ley Orgánica 2/2006, de 3 de mayo, DE CONFORMIDAD con el art. 10.1 de la Ley Orgánica 5/2002, de 19 de junio","Ley Orgánica 5/2002, Ley Orgánica 2/2006, Real Decreto 1147/2011",
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4623.pdf"";""BOE-A-2021-4623"")","Resolución de 23 de marzo de 2021, del Banco de España, por la que se publican los cambios del euro correspondientes al día 23 de marzo de 2021, publicados por el Banco Central Europeo, que tendrán la consideración de cambios oficiales, de acuerdo con lo dispuesto en el artículo 36 de la Ley 46/1998, de 17 de diciembre, sobre la Introducción del Euro.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4622.pdf"";""BOE-A-2021-4622"")","Resolución de 12 de marzo de 2021, de la Agencia Nacional de Evaluación de la Calidad y Acreditación, por la que se publica el Convenio con la Conferencia de Rectores de las Universidades Españolas y el Ministerio de Universidades, para la elaboración conjunta de un estudio sobre las retribuciones del personal docente e investigador con perspectiva de género.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4568.pdf"";""BOE-A-2021-4568"")","Real Decreto 135/2021, de 2 de marzo, por el que se aprueba el Estatuto General de la Abogacía Española.",2021-03-24,"Abogados, Colegios de Abogados, Colegios Profesionales, Consejo General de la Abogacía Española",Asociaciones profesionales,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4620.pdf"";""BOE-A-2021-4620"")","Resolución de 15 de febrero de 2021, de la Presidencia del Consejo Superior de Investigaciones Científicas, M.P., por la que se publica el Convenio con el Institut de Recerca i Tecnología Agroalimentàries, en el marco de la convocatoria del Programa Pleamar 2019 de la Fundación Biodiversidad del Ministerio para la Transición Ecológica y el Reto Demográfico.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4608.pdf"";""BOE-A-2021-4608"")","Real Decreto 191/2021, de 23 de marzo, por el que se indulta a don José Luis Pozuelo López.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4609.pdf"";""BOE-A-2021-4609"")","Real Decreto 192/2021, de 23 de marzo, por el que se indulta a don Pedro Zapatero Rodríguez.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4619.pdf"";""BOE-A-2021-4619"")","Orden CUD/274/2021, de 15 de marzo, por la que se otorga la garantía del Estado a 425 obras para su exhibición en la colección permanente del Museo Nacional Thyssen Bornemisza.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4625.pdf"";""BOE-A-2021-4625"")","Resolución de 12 de marzo de 2021, de la Secretaría del Consejo de la Comisión Nacional de los Mercados y la Competencia, por la que se emplaza a los interesados en el recurso contencioso-administrativo 4/491/2021, interpuesto ante la Audiencia Nacional contra la Resolución de 17 de diciembre de 2020, por la que se establece el ajuste retributivo de la actividad de distribución aplicable a las empresas de desarrollan la actividad de distribución en el periodo regulatorio 2021-2026.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4624.pdf"";""BOE-A-2021-4624"")","Resolución de 11 de marzo de 2021, de la Comisión Nacional de los Mercados y la Competencia, por la que se otorga el carácter singular a las inversiones realizadas por Red Eléctrica de España, SAU, en despachos de maniobra y telecontrol durante el ejercicio 2019 y su inclusión en el régimen retributivo de inversiones singulares con características técnicas especiales.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4618.pdf"";""BOE-A-2021-4618"")","Resolución de 5 de marzo de 2021, del Instituto Nacional de las Artes Escénicas y de la Música, por la que se publica el Convenio con el Teatro Principal de Vitoria, para la colaboración conjunta en la realización del espectáculo ""El príncipe constante"".",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4602.pdf"";""BOE-A-2021-4602"")","Real Decreto 185/2021, de 23 de marzo, por el que se indulta a don Alfonso Barros Cuenca.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4616.pdf"";""BOE-A-2021-4616"")","Resolución de 3 de marzo de 2021, de la Secretaría General de Coordinación Territorial, por la que se publica el Acuerdo de la Subcomisión de Seguimiento Normativo, Prevención y Solución de Conflictos de la Comisión Bilateral Generalitat-Estado, en relación con la Ley 2/2020, de 5 de marzo, de la vitivinicultura.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4617.pdf"";""BOE-A-2021-4617"")","Resolución de 3 de marzo de 2021, de la Secretaría General de Coordinación Territorial, por la que se publica el Acuerdo de la Subcomisión de Seguimiento Normativo, Prevención y Solución de Conflictos de la Comisión Bilateral Generalitat-Estado, en relación con la Ley 5/2020, de 29 de abril, de medidas fiscales, financieras, administrativas y del sector público y de creación del impuesto sobre las instalaciones que inciden en el medio ambiente.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4603.pdf"";""BOE-A-2021-4603"")","Real Decreto 186/2021, de 23 de marzo, por el que se indulta a don Manuel Calero Luque.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4615.pdf"";""BOE-A-2021-4615"")","Resolución de 3 de marzo de 2021, de la Secretaría General de Coordinación Territorial, por la que se publica el Acuerdo de la Subcomisión de Seguimiento Normativo, Prevención y Solución de Conflictos de la Comisión Bilateral Generalitat-Estado, en relación con la Ley 10/2019, de 23 de diciembre, de puertos y de transporte en aguas marítimas y continentales.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4601.pdf"";""BOE-A-2021-4601"")","Real Decreto 184/2021, de 23 de marzo, por el que se indulta a don Agustín Acosta Haro.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4600.pdf"";""BOE-A-2021-4600"")","Acuerdo de 11 de marzo de 2021, de la Comisión Permanente del Consejo General del Poder Judicial, por el que el Juzgado de lo Mercantil número 4 de Murcia, con sede en Cartagena, en virtud de Acuerdo de la Comisión Permanente del Consejo General del Poder Judicial de 3 de diciembre de 2020, desde la fecha de su entrada en funcionamiento, conocerá de los asuntos de su competencia correspondientes a los partidos judiciales de Cartagena y San Javier.",2021-03-24,"Administración de Justicia, Demarcación judicial, Juzgados de lo Mercantil, Murcia, Reparto de asuntos","Administración de Justicia, Derecho Mercantil",BOE-A-1985-12666,"DE CONFORMIDAD con el art. 269.2 de la Ley Orgánica 6/1985, de 1 de julio",Ley Orgánica 6/1985,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4614.pdf"";""BOE-A-2021-4614"")","Resolución de 16 de marzo de 2021, de la Dirección General de Servicios e Inspección, por la que se publica el Convenio con la Fundación Amigos del Museo del Prado, para la adhesión a dicha Fundación del personal del Ministerio.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4572.pdf"";""BOE-A-2021-4572"")","Real Decreto 178/2021, de 23 de marzo, por el que se modifica el Real Decreto 1027/2007, de 20 de julio, por el que se aprueba el Reglamento de Instalaciones Térmicas en los Edificios.",2021-03-24,"Aislamiento térmico, Aparatos de medida, Autorizaciones, Calefacción, Capacitación profesional, Certificaciones, Climatización, Consumidores y usuarios, Consumo de energía, Contaminación atmosférica, Edificaciones, Normalización, Reglamentaciones técnicas, Viviendas","Consumidores y usuarios, Energía, Medio ambiente, Tecnología e investigación, Trabajo y empleo, Vivienda y urbanismo",,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4610.pdf"";""BOE-A-2021-4610"")","Resolución 420/38070/2021, de 1 de marzo, de la Secretaría General Técnica, por la que se publica el Convenio con el Consejo General de Colegios Oficiales de Farmacéuticos, para el desarrollo de actividades formativas y de investigación en el ámbito de las ciencias farmacéuticas.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4604.pdf"";""BOE-A-2021-4604"")","Real Decreto 187/2021, de 23 de marzo, por el que se indulta a doña Antonia López Romero.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4605.pdf"";""BOE-A-2021-4605"")","Real Decreto 188/2021, de 23 de marzo, por el que se indulta a don José Miguel Membrilla Martínez.",2021-03-24,,,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4611.pdf"";""BOE-A-2021-4611"")","Resolución de 18 de marzo de 2021, de la Dirección General de Trabajo, por la que se registra y publica el Acta de acuerdo de modificación del IV Convenio colectivo único para el personal laboral de la Administración General del Estado.",2021-03-24,"Administración General del Estado, Convenios colectivos, Empleados públicos, Función Pública, Negociación colectiva",,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4567.pdf"";""BOE-A-2021-4567"")","Ley Orgánica 2/2021, de 23 de marzo, de reforma de la Ley Orgánica 8/1981, de 30 de diciembre, de Estatuto de Autonomía para Cantabria, para la eliminación del aforamiento de los Diputados y Diputadas del Parlamento y del Presidente y Consejeros del Gobierno.",2021-03-24,"Cantabria, Diputados, Parlamento Autonómico",Derecho Constitucional,BOE-A-1982-635,"MODIFICA el art. 11.1 y SUPRIME el art. 20 del Estatuto aprobado por Ley Orgánica 8/1981, de 30 de diciembre",Ley Orgánica 8/1981,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4571.pdf"";""BOE-A-2021-4571"")","Real Decreto 177/2021, de 23 de marzo, por el que se modifica el Reglamento de retribuciones del personal de las Fuerzas Armadas, aprobado por el Real Decreto 1314/2005, de 4 de noviembre.",2021-03-24,"Administración Militar, Fuerzas Armadas, Retribuciones",,,,,
"=HIPERVINCULO(""https://www.boe.es/boe/dias/2021/03/24/pdfs/BOE-A-2021-4607.pdf"";""BOE-A-2021-4607"")","Real Decreto 190/2021, de 23 de marzo, por el que se indulta a doña Juana Muñoz Rodríguez.",2021-03-24,,,,,,
