Item_id,Item_Title,Fecha_publicacion,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1372.pdf&tipo=rutaDocm"";""2021/1372"")",Sanidad. Procedimiento Ordinario 119/2021. [NID 2021/1372],2021-02-12,"Resolución de 28 de enero de 2021, Resolución de 06 de febrero de 2021",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1231.pdf&tipo=rutaDocm"";""2021/1231"")","Régimen Local. Resolución de 05/02/2021, de la Viceconsejería de Administración Local y Coordinación Administrativa, por la que se crea y clasifica un puesto de trabajo, denominado Tesorería, reservado a funcionario de la administración local con habilitación de carácter nacional, en el Ayuntamiento de Mora (Toledo). [NID 2021/1231]",2021-02-12,"Ley 7/1985, Real Decreto 128/2018, Real Decreto 128/2018",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1109.pdf&tipo=rutaDocm"";""2021/1109"")","Función Pública. Resolución de 02/02/2021, de la Dirección General de la Función Pública, por la que se da publicidad al Protocolo para la prevención, identificación y actuación frente al acoso sexual y por razón de sexo en el lugar de trabajo en la Administración de la Junta de Comunidades de Castilla-La Mancha y sus organismos autónomos. [NID 2021/1109]",2021-02-12,"Ley 40/2015, Ley 31/1995, Ley 12/2010, Real Decreto Legislativo 5/2015, Ley 4/2011, Real Decreto Legislativo 2/2015, Ley 4/2011, Ley 12/2010, Ley 12/2010, Ley 12/2010, Ley 31/1995, Ley 12/2010, Ley 31/1995, Ley 40/2015, Ley 40/2015","LEY 31/1995 ESP, RD 171/2004 ESP, RDG 2/2015 ESP, RES 29/5/2017 ESP, RES 5/11/2010 ESP"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1248.pdf&tipo=rutaDocm"";""2021/1248"")","Formación. Resolución de 05/02/2021, de la Dirección General de la Función Pública, por la que se convocan acciones formativas incluidas en el Plan de Formación para el Personal de la Administración de la Junta de Comunidades de Castilla-La Mancha para 2021. [NID 2021/1248]",2021-02-12,"Ley 4/2011, Ley 40/2015, Ley 39/2015, Ley 40/2015, Ley 39/2015, Ley 40/2015, Ley 40/2015, Ley 40/2015, Ley 53/84, Ley 9/2017, Ley 9/2017, Ley 9/2017, Ley 9/2017, ley 39/2015, ley 40/2015, Ley 40/2015, Ley 39/2015, ley 39/2015, ley 40/2015, Ley 40/2015, Ley 39/2015, Ley 39/2015, Ley 40/2015, Ley 40/2015, Ley 39/2015, Ley 40/2015, Ley 39/2015, Ley 40/2015, Ley 39/2015, Ley 39/2015, Ley 30/1992, Ley 8/2019","LEY 9/2017 ESP, RD 1771/1994 ESP"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1250.pdf&tipo=rutaDocm"";""2021/1250"")","Convenios. Resolución de 05/02/2021, de la Secretaría General de la Presidencia, por la que se da publicidad a la prórroga del convenio suscrito, con fecha de 28/11/2019, entre el Consejo de Transparencia y Buen Gobierno y la Vicepresidencia de la Junta de Comunidades de Castilla-La Mancha por el que se atribuye al consejo la competencia para la resolución de las reclamaciones previstas en el artículo 24 de la Ley 19/2013, de 9 de diciembre, de Transparencia, Acceso a la Información Pública y Buen Gobierno. [NID 2021/1250]",2021-02-12,"Ley 19/2013, Ley 19/2013, Ley 40/2015, Ley 40/2015, Ley 19/2013, Real Decreto 922/2020, Ley 11/2003, Ley 19/2013, Ley 40/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1194.pdf&tipo=rutaDocm"";""2021/1194"")","Notificaciones. Notificación de 05/02/2021, de la Secretaría General, por la que se da publicidad a la Resolución de fecha 10/12/2020, por la que se resuelve el recurso de alzada número 333/2020-MGS. [NID 2021/1194]",2021-02-12,"Ley 39/2015, Ley 39/2015, Ley 39/2015, Ley 29/1998",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1236.pdf&tipo=rutaDocm"";""2021/1236"")","Sanciones. Notificación de 14/01/2021, de la Delegación Provincial de Hacienda y Administraciones Públicas de Guadalajara, por la que se acuerda publicar la resolución del procedimiento sancionador por infracción en materia de festejos taurinos populares número 170/20. [NID 2021/1236]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1237.pdf&tipo=rutaDocm"";""2021/1237"")","Sanciones. Notificación de 14/01/2021, de la Delegación Provincial de Hacienda y Administraciones Públicas de Guadalajara, por la que se acuerda publicar la resolución del procedimiento sancionador por infracción en materia de festejos taurinos populares número 321/20. [NID 2021/1237]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1238.pdf&tipo=rutaDocm"";""2021/1238"")","Sanciones. Notificación de 14/01/2021, de la Delegación Provincial de Hacienda y Administraciones Públicas de Guadalajara, por la que se acuerda publicar la resolución del procedimiento sancionador por infracción en materia de festejos taurinos populares número 214/20. [NID 2021/1238]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1239.pdf&tipo=rutaDocm"";""2021/1239"")","Sanciones. Notificación de 14/01/2021, de la Delegación Provincial de Hacienda y Administraciones Públicas de Guadalajara, por la que se acuerda publicar la resolución del procedimiento sancionador por infracción en materia de festejos taurinos populares número 302/20. [NID 2021/1239]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1240.pdf&tipo=rutaDocm"";""2021/1240"")","Sanciones. Notificación de 14/01/2021, de la Delegación Provincial de Hacienda y Administraciones Públicas de Guadalajara, por la que se acuerda publicar la resolución del procedimiento sancionador por infracción en materia de festejos taurinos populares número 259/20. [NID 2021/1240]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1241.pdf&tipo=rutaDocm"";""2021/1241"")","Sanciones. Notificación de 14/01/2021, de la Delegación Provincial de Hacienda y Administraciones Públicas de Guadalajara, por la que se acuerda publicar la resolución del procedimiento sancionador por infracción en materia de festejos taurinos populares número 253/20. [NID 2021/1241]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1215.pdf&tipo=rutaDocm"";""2021/1215"")","Sanciones. Notificación de 02/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/747/2020 de fecha 28/12/2021. [NID 2021/1215]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1221.pdf&tipo=rutaDocm"";""2021/1221"")","Sanciones. Notificación de 02/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/731/2020 de fecha 05/01/2021. [NID 2021/1221]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1226.pdf&tipo=rutaDocm"";""2021/1226"")","Sanciones. Notificación de 03/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/981/2020 de fecha 20/01/2021. [NID 2021/1226]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1207.pdf&tipo=rutaDocm"";""2021/1207"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/829/2020 de fecha 18/01/2021. [NID 2021/1207]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1208.pdf&tipo=rutaDocm"";""2021/1208"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/900/2020 de fecha 18/01/2021. [NID 2021/1208]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1209.pdf&tipo=rutaDocm"";""2021/1209"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/725/2020 de fecha 23/12/2020. [NID 2021/1209]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1210.pdf&tipo=rutaDocm"";""2021/1210"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/824/2020 de fecha 18/01/2021. [NID 2021/1210]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1211.pdf&tipo=rutaDocm"";""2021/1211"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/813/2020 de fecha 12/01/2021. [NID 2021/1211]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1212.pdf&tipo=rutaDocm"";""2021/1212"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/805/2020 de fecha 12/01/2021. [NID 2021/1212]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1213.pdf&tipo=rutaDocm"";""2021/1213"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/1013/2020 de fecha 26/01/2021. [NID 2021/1213]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1214.pdf&tipo=rutaDocm"";""2021/1214"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/1281/2020 de fecha 18/01/2021. [NID 2021/1214]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1219.pdf&tipo=rutaDocm"";""2021/1219"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/1064/2020 de fecha 29/01/2021. [NID 2021/1219]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1225.pdf&tipo=rutaDocm"";""2021/1225"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/826/2020 de fecha 18/01/2021. [NID 2021/1225]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1228.pdf&tipo=rutaDocm"";""2021/1228"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/864/2020 de fecha 18/01/2021. [NID 2021/1228]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1229.pdf&tipo=rutaDocm"";""2021/1229"")","Sanciones. Notificación de 04/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/750/2020 de fecha 28/12/2020. [NID 2021/1229]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1217.pdf&tipo=rutaDocm"";""2021/1217"")","Sanciones. Notificación de 05/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/964/2020 de fecha 19/01/2021. [NID 2021/1217]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1220.pdf&tipo=rutaDocm"";""2021/1220"")","Sanciones. Notificación de 05/02/2021, de la Delegación Provincial de Sanidad de Guadalajara, por la que se da publicidad al acuerdo de iniciación de expediente sancionador por infracción en materia de salud pública número S19/1061/2020 de fecha 29/01/2021. [NID 2021/1220]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1242.pdf&tipo=rutaDocm"";""2021/1242"")","Notificaciones. Notificación de 01/02/2021, de la Secretaría General, por la que se procede a la publicación de la Resolución de la Consejería de Agricultura, Agua y Desarrollo Rural, de 01/12/2020, recaída en el recurso de alzada 418/2020. [NID 2021/1242]",2021-02-12,"Ley 39/2015, Ley 29/1998",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1243.pdf&tipo=rutaDocm"";""2021/1243"")","Notificaciones. Notificación de 01/02/2021, de la Secretaría General, por la que se procede a la publicación de la Resolución de la Consejería de Agricultura, Agua y Desarrollo Rural, de 14/12/2020, recaída en el recurso de alzada 424/2020. [NID 2021/1243]",2021-02-12,"Ley 39/2015, Ley 29/1998",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1198.pdf&tipo=rutaDocm"";""2021/1198"")","Notificaciones. Notificación de 03/02/2021, de la Secretaría General, por la que se publica el acto administrativo relativo al procedimiento de expropiación forzosa, tramitado en la Consejería de Agricultura, Agua y Desarrollo Rural. [NID 2021/1198]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1199.pdf&tipo=rutaDocm"";""2021/1199"")","Notificaciones. Notificación de 03/02/2021, de la Secretaría General, por la que se publica el acto administrativo relativo al procedimiento de expropiación forzosa, tramitado en la Consejería de Agricultura, Agua y Desarrollo Rural. [NID 2021/1199]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1201.pdf&tipo=rutaDocm"";""2021/1201"")","Notificaciones. Notificación de 04/02/2021, de la Secretaría General, por la que se publica el acto administrativo relativo al procedimiento de expropiación forzosa, tramitado en la Consejería de Agricultura, Agua y Desarrollo Rural. [NID 2021/1201]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1235.pdf&tipo=rutaDocm"";""2021/1235"")","Notificaciones. Notificación de 04/02/2021, de la Secretaría General, por la que se publica el acto administrativo relativo al procedimiento de expropiación forzosa, tramitado en la Consejería de Agricultura, Agua y Desarrollo Rural. [NID 2021/1235]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1245.pdf&tipo=rutaDocm"";""2021/1245"")","Notificaciones. Notificación de 04/02/2021, de la Secretaría General, por la que se publica el acto administrativo relativo al procedimiento de expropiación forzosa, tramitado en la Consejería de Agricultura, Agua y Desarrollo Rural. [NID 2021/1245]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1246.pdf&tipo=rutaDocm"";""2021/1246"")","Notificaciones. Notificación de 04/02/2021, de la Secretaría General, por la que se publica el acto administrativo relativo al procedimiento de expropiación forzosa, tramitado en la Consejería de Agricultura, Agua y Desarrollo Rural. [NID 2021/1246]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1247.pdf&tipo=rutaDocm"";""2021/1247"")","Notificaciones. Notificación de 04/02/2021, de la Secretaría General, por la que se publica el acto administrativo relativo al procedimiento de expropiación forzosa, tramitado en la Consejería de Agricultura, Agua y Desarrollo Rural. [NID 2021/1247]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1197.pdf&tipo=rutaDocm"";""2021/1197"")","Notificaciones. Notificación de 04/02/2021, de la Delegación Provincial de Agricultura, Agua y Desarrollo Rural de Ciudad Real, por la que se acuerda dar publicidad a los procedimientos de conversión de derechos de plantación de viñedo en autorización de plantación, al no haberse podido practicar la notificación personal en el último domicilio conocido. (Expedientes VC-2020-13-804-0654 y VC-2020-13-804-0719). [NID 2021/1197]",2021-02-12,"Ley 39/2015, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1216.pdf&tipo=rutaDocm"";""2021/1216"")","Notificaciones. Notificación de 04/02/2021, de la Delegación Provincial de Agricultura, Agua y Desarrollo Rural de Cuenca, de la Resolución de fecha 06/11/2020 para comunicar la baja en el Registro de Explotaciones Ganaderas de Castilla-La Mancha. [NID 2021/1216]",2021-02-12,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1244.pdf&tipo=rutaDocm"";""2021/1244"")","Pruebas de Aptitud. Resolución de 04/02/2021, de la Dirección General de Transportes y Movilidad, por la que se determina la composición del tribunal calificador de las pruebas de competencia profesional para el transporte interior e internacional de mercancías y viajeros convocadas por Resolución de 18/01/2021 (DOCM número 16 de 26/01/2020). [NID 2021/1244]",2021-02-12,Resolución de 18 de enero de 2021,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/12/pdf/2021_1188.pdf&tipo=rutaDocm"";""2021/1188"")","Convenios. Resolución de 02/02/2021, de la Secretaría General, por la que se dispone la publicación del convenio de colaboración entre la Consejería de Desarrollo Sostenible y la Diputación Provincial de Cuenca, para la mejora de la recogida y tratamiento de biorresiduos. [NID 2021/1188]",2021-02-12,"Ley 40/2015, Ley 7/1985, Ley 22/2011, Ley 7/1985, Ley 22/2011, Ley 47/2003","LEY 22/2011 ESP, LEY 5/2013 ESP, ORD AAA/699/2016 ESP, ORD APM/189/2018 ESP, ORD APM/205/2018 ESP, ORD APM/206/2018 ESP, ORD APM/397/2018 ESP, ORD TEC/852/2019 ESP, ORD TED/363/2020 ESP, ORD TED/426/2020 ESP"
