Item_id,Item_Title,Fecha_publicacion,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1615.pdf&tipo=rutaDocm"";""2021/1615"")","Urbanismo. Ley 1/2021, de 12 de febrero, de Simplificación Urbanística y Medidas Administrativas. [NID 2021/1615]",2021-02-25,"Ley 5/2020, Ley 7/2019, Ley 45/2007, Ley 1/2021",LEY 7/2019 CMA
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1967.pdf&tipo=rutaDocm"";""2021/1967"")","Designaciones. Acuerdo de 23/02/2021, del Consejo de Gobierno, por el que se designan representantes de la Junta de Comunidades de Castilla-La Mancha en el Consejo Regional de Provincias. [NID 2021/1967]",2021-02-25,"Ley 2/1991, Ley 39/2015, Ley 3/1984, Ley 29/1998",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1831.pdf&tipo=rutaDocm"";""2021/1831"")","Ayudas y Subvenciones. Resolución de 17/02/2021, del Instituto de la Mujer de Castilla-La Mancha, de concesión de subvenciones para la gestión del funcionamiento de recursos de acogida en Castilla-La Mancha para 2021-2022. [NID 2021/1831]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1786.pdf&tipo=rutaDocm"";""2021/1786"")","Sanciones. Notificación de 16/02/2021, de la Delegación Provincial de Sanidad de Albacete, por la que se da publicidad a la propuesta de resolución del expediente sancionador número 950/20-T de fecha 25/01/2021. [NID 2021/1786]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1789.pdf&tipo=rutaDocm"";""2021/1789"")","Sanciones. Notificación de 16/02/2021, de la Delegación Provincial de Sanidad de Albacete, por la que se da publicidad a la propuesta de resolución del expediente sancionador número 487/20-T de fecha 25/01/2021. [NID 2021/1789]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1791.pdf&tipo=rutaDocm"";""2021/1791"")","Sanciones. Notificación de 16/02/2021, de la Delegación Provincial de Sanidad de Albacete, por la que se da publicidad a la propuesta de resolución del expediente sancionador número 620/20-S de fecha 14/01/2021. [NID 2021/1791]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1792.pdf&tipo=rutaDocm"";""2021/1792"")","Sanciones. Notificación de 16/02/2021, de la Delegación Provincial de Sanidad de Albacete, por la que se da publicidad a la Resolución del expediente sancionador número 228/20-S de fecha 30/11/2020. [NID 2021/1792]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1793.pdf&tipo=rutaDocm"";""2021/1793"")","Sanciones. Notificación de 16/02/2021, de la Delegación Provincial de Sanidad de Albacete, por la que se da publicidad a la propuesta de resolución del expediente sancionador número 1013/20-S de fecha 22/01/2021. [NID 2021/1793]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1783.pdf&tipo=rutaDocm"";""2021/1783"")","Sanciones. Notificación de 18/02/2021, de la Delegación Provincial de Sanidad de Albacete, por la que se da publicidad a iniciación del expediente sancionador número 970/20-S de fecha 17/11/2020. [NID 2021/1783]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1784.pdf&tipo=rutaDocm"";""2021/1784"")","Sanciones. Notificación de 18/02/2021, de la Delegación Provincial de Sanidad de Albacete, por la que se da publicidad a iniciación del expediente sancionador número 960/20-S de fecha 16/11/2020. [NID 2021/1784]",2021-02-25,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/25/pdf/2021_1787.pdf&tipo=rutaDocm"";""2021/1787"")","Sanciones. Notificación de 18/02/2021, de la Delegación Provincial de Sanidad de Albacete, por la que se da publicidad a iniciación del expediente sancionador número 959/20-S de fecha 16/11/2020. [NID 2021/1787]",2021-02-25,Ley 39/2015,
