Item_id,Item_Title,Fecha_publicacion,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/26/pdf/2021_1991.pdf&tipo=rutaDocm"";""2021/1991"")","Ayudas y Subvenciones. Decreto 14/2021, de 23 de febrero, por el que se modifica el Decreto 83/2020, de 21 de diciembre, por el que se regulan las ayudas para el inicio y mantenimiento de la actividad de las personas trabajadoras autónomas y del familiar colaborador, afectadas por el COVID-19. [NID 2021/1991]",2021-02-26,Reglamento (UE) 1303/2013,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/26/pdf/2021_2007.pdf&tipo=rutaDocm"";""2021/2007"")","Personal Estatutario. Resolución de 23/02/2021, de la Dirección-Gerencia, por la que se convoca proceso de integración en el régimen estatutario dirigido al personal incluido en el ámbito de aplicación del procedimiento de traspaso a la Administración Regional de los servicios y funciones del Hospital Psiquiátrico de la Diputación Provincial de Ciudad Real. [NID 2021/2007]",2021-02-26,"Ley 39/2015, Orden de 26 de diciembre de 1986, Ley 55/2003",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/26/pdf/2021_1827.pdf&tipo=rutaDocm"";""2021/1827"")","Notificaciones. Notificación de 16/02/2021, de la Delegación Provincial de Educación, Cultura y Deportes de Guadalajara, en relación a reconocimiento de accidente de trabajo. [NID 2021/1827]",2021-02-26,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/26/pdf/2021_1829.pdf&tipo=rutaDocm"";""2021/1829"")","Notificaciones. Notificación de 16/02/2021, de la Delegación Provincial de Educación, Cultura y Deportes de Guadalajara, en relación a la deducción de haberes en nómina. [NID 2021/1829]",2021-02-26,Ley 39/2015,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/26/pdf/2021_1848.pdf&tipo=rutaDocm"";""2021/1848"")","Oposiciones. Resolución de 16/02/2021, de la Dirección General de Recursos Humanos, por la que, en ejecución de sentencia, se nombra personal estatutario fijo y se adjudica plaza en el proceso selectivo convocado por Resolución del Sescam, de 28/03/2008, para el ingreso, por el sistema general de acceso libre y promoción interna, en la categoría de Grupo Auxiliar de la Función Administrativa, de las instituciones sanitarias del Servicio de Salud de Castilla-La Mancha. [NID 2021/1848]",2021-02-26,Ley 55/2003,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/26/pdf/2021_1824.pdf&tipo=rutaDocm"";""2021/1824"")","Provisión de Puestos de Trabajo. Resolución de 18/02/2021, de la Consejería de Educación, Cultura y Deportes, por la que se anuncia la provisión por el procedimiento de libre designación (LD EDCD F1/2021), de puestos de trabajo vacantes en la Administración de la Junta de Comunidades de Castilla-La Mancha. [NID 2021/1824]",2021-02-26,"Ley 4/2011, Ley 29/1998, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/26/pdf/2021_1990.pdf&tipo=rutaDocm"";""2021/1990"")","Empleo. Orden 22/2021, de 22 de febrero, de la Consejería de Economía, Empresas y Empleo y de la Consejería de Educación, Cultura y Deportes, por la que se realiza convocatoria del procedimiento para la evaluación y acreditación de las competencias profesionales adquiridas a través de la experiencia laboral o de vías no formales de formación, en la comunidad autónoma de Castilla-La Mancha. [NID 2021/1990]",2021-02-26,"Real Decreto 34/2008, Orden TAS/2307/2007, Ley 29/1998, Real Decreto 7/2015, Real Decreto 1224/2009, Ley 5/2002, Real Decreto 1124/2009, Ley 11/2003, Ley 39/2015, Ley 30/2015, Real Decreto 395/2007, Real Decreto Legislativo 3/2015, Ley 9/2012","LEY 30/2015 ESP, LEY 9/2012 CMA, RD 1675/2010 ESP, RD 189/2013 ESP, RD 34/2008 ESP, STC 61/2015 ESP"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/26/pdf/2021_1828.pdf&tipo=rutaDocm"";""2021/1828"")","Participación Ciudadana. Resolución de 18/02/2021, de la Viceconsejería de Empleo, Diálogo Social y Bienestar Laboral, por la que se acuerda la publicación en extracto del informe final sobre la nueva programación del Fondo Social Europeo Plus (FSE+) 2021-2027. [NID 2021/1828]",2021-02-26,Ley 8/2019,
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/26/pdf/2021_1919.pdf&tipo=rutaDocm"";""2021/1919"")","Ayudas y Subvenciones. Resolución de 19/02/2021, del Instituto de Promoción Exterior de Castilla-La Mancha, por la que se aprueba la convocatoria de concesión de subvenciones para la participación en la presentación de productos en Rumania 2021, al amparo de la Orden 92/2020, de 24 de junio, de la Consejería de Economía, Empresas y Empleo, por la que se establecen las bases reguladoras de las ayudas para la participación agrupada en acciones de internacionalización convocadas por el Instituto de Promoción Exterior de Castilla-La Mancha. Extracto BDNS (Identif.): 550259. [NID 2021/1919]",2021-02-26,"Ley 12/1991, Ley 5/2017, Real Decreto 887/2006, Ley 58/2003, Ley 4/2018, Ley 50/2002, Ley 11/2003, Ley 39/2015, Ley 38/2003, Orden HFP/1979/2016, Real Decreto 209/2003, RESOLUCIÓN DE 19 DE FEBRERO DE 2021",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/02/26/pdf/2021_1920.pdf&tipo=rutaDocm"";""2021/1920"")","Ayudas y Subvenciones. Resolución de 19/02/2021, del Instituto de Promoción Exterior de Castilla-La Mancha, por la que se aprueba la convocatoria de concesión de subvenciones para la participación en la V2B Wine Meeting China 2021: Chengdu, al amparo de la Orden 92/2020, de 24 de junio, de la Consejería de Economía, Empresas y Empleo, por la que se establecen las bases reguladoras de las ayudas para la participación agrupada en acciones de internacionalización convocadas por el Instituto de Promoción Exterior de Castilla-La Mancha. Extracto BDNS (Identif.): 550254. [NID 2021/1920]",2021-02-26,"Ley 12/1991, Ley 5/2017, Real Decreto 887/2006, Ley 58/2003, Ley 4/2018, Ley 50/2002, Ley 11/2003, Ley 39/2015, Ley 38/2003, Orden HFP/1979/2016, Real Decreto 209/2003, RESOLUCIÓN DE 19 DE FEBRERO DE 2021",
