Item_id,Item_Title,Fecha_publicacion,Tags,Match_ASECORP_BBDD
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/03/15/pdf/2021_2761.pdf&tipo=rutaDocm"";""2021/2761"")","Ayudas y Subvenciones. Decreto 20/2021, de 9 de marzo, por el que se regula la concesión directa de subvenciones destinadas a proyectos de inversión en actuaciones sobre la nueva economía de los cuidados en el Sistema de Servicios Sociales y Atención a la Dependencia de Castilla-La Mancha e impulso al Tercer Sector Social. Extracto BDNS (Identif.): 552632. [NID 2021/2761]",2021-03-15,"Ley 31/1995, Reglamento (UE) 2016/679, Real Decreto 463/2020, Ley 1/2020, Reglamento (CE) nº 1083/2006, Ley 40/2015, Ley 4/2016, Ley 14/2010, Real Decreto 887/2006, Decreto 12/2010, Directiva 95/46, Ley 9/2017, Decreto 21/2008, Ley 38/2003, Decreto 20/2021, Ley Orgánica 1/1996, Ley 11/2003, Ley Orgánica 3/2018, Ley 39/2006, Real Decreto-ley 36/2020, Ley 39/2015, Reglamento (UE) nº 1303/2013, DECRETO 20/2021, Decreto 9/2020","LEY 31/1995 ESP, LEY 9/2017 ESP, ORD INT/262/2020 ESP, ORD INT/284/2020 ESP, RD 171/2004 ESP, RDL 36/2020 ESP, RES 29/5/2017 ESP, RES 5/11/2010 ESP"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/03/15/pdf/2021_2654.pdf&tipo=rutaDocm"";""2021/2654"")","Distinciones. Resolución de 05/03/2021, de la Consejería de Hacienda y Administraciones Públicas, por la que se concede la Distinción a la Permanencia como Profesor de la Escuela de Protección Ciudadana a don Juan Ramón Osorio Muñiz. [NID 2021/2654]",2021-03-15,"Decreto 80/2019, Resolución de 05/03/2021, Decreto 110/2006, Orden de 28 de octubre de 2010, Resolución de 4 de marzo de 2021",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/03/15/pdf/2021_2778.pdf&tipo=rutaDocm"";""2021/2778"")","Ayudas y Subvenciones. Resolución de 08/03/2021, de la Consejería de Hacienda y Administraciones Públicas, por la que se convoca la concesión de subvenciones dirigidas a las entidades locales de Castilla-La Mancha para la elaboración de planes de protección civil de ámbito municipal. Extracto BDNS (Identif.): 552636. [NID 2021/2778]",2021-03-15,"RESOLUCIÓN DE 8 DE MARZO DE 2021, Orden 152/2018, Decreto 21/2008, Ley 38/2003, Resolución de 08/03/2021, Ley 3/2008, Real Decreto 887/2006, Resolución de 8 de marzo de 2021, Decreto 12/2010, Orden 7/2020, Orden 195/2020, Orden 187/2017, Orden 75/2017, Ley 40/2015, Ley 4/2016, Orden de 26 de marzo de 2008, Ley 39/2015, Ley 9/2017","LEY 3/2008 CMA, LEY 9/2017 ESP, ORD 187/2017 CMA"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/03/15/pdf/2021_2767.pdf&tipo=rutaDocm"";""2021/2767"")","Actividades Culturales. Corrección de errores de la Resolución 03/03/2021, de la Consejería de Educación, Cultura y Deportes, por la que se establece la convocatoria para la presentación de propuestas de espectáculos a la XXV Feria de Artes Escénicas y Musicales de Castilla-La Mancha. [NID 2021/2767]",2021-03-15,"Resolución de 03/03/2021, Ley 39/2015",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/03/15/pdf/2021_2670.pdf&tipo=rutaDocm"";""2021/2670"")","Educación. Corrección de errores de la Resolución de 23/02/2021, de la Viceconsejería de Educación, por la que se dispone el nombramiento de los miembros de la subcomisión organizadora de la evaluación de Bachillerato para el acceso a la Universidad en Castilla-La Mancha. [NID 2021/2670]",2021-03-15,"Ley 39/2015, Resolución de 23/02/2021",
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/03/15/pdf/2021_2653.pdf&tipo=rutaDocm"";""2021/2653"")","Montes. Resolución de 11/02/2021, de la Dirección General de Medio Natural y Biodiversidad, por la que se aprueba la renovación de la ocupación temporal en el monte de utilidad pública número 75 denominado La Redonda, de pertenencia del Ayuntamiento de Talayuelas y sito en su término municipal de la provincia de Cuenca, relativa a una explotación minera, a favor de Hercucas, SL. ID 2179. [NID 2021/2653]",2021-03-15,"Ley 43/2003, Ley 3/2008, Ley 39/2015, Resolución de 07/07/2010, Decreto 485/1962, Real Decreto 1676/1984, Resolución de 11/02/2021","LEY 21/2015 ESP, LEY 3/2008 CMA, LEY 9/2018 ESP, STC 118/2017 ESP"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/03/15/pdf/2021_2655.pdf&tipo=rutaDocm"";""2021/2655"")","Montes. Resolución de 11/02/2021, de la Dirección General de Medio Natural y Biodiversidad, por la que se aprueba la ocupación temporal en el monte de utilidad pública número 145 denominado Guijarrilla y Talón, de pertenencia a la Junta de Comunidades de Castilla-La Mancha y sito en el término municipal de Nerpio, provincia de Albacete, para la instalación de una antena de telecomunicaciones y una línea eléctrica, a favor de Telecom Castilla-La Mancha SA. ID 2158. [NID 2021/2655]",2021-03-15,"Ley 43/2003, Decreto 5/1999, Ley 3/2008, Ley 39/2015, Real Decreto 1432/2008, Decreto 485/1962, Real Decreto 1676/11494, Resolución de 11/02/2021","DEC 5/1999 CMA, LEY 21/2015 ESP, LEY 3/2008 CMA, LEY 9/2018 ESP, RD 1432/2008 ESP, RD 264/2017 ESP, STC 118/2017 ESP, STC 88/2018 ESP"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/03/15/pdf/2021_2657.pdf&tipo=rutaDocm"";""2021/2657"")","Montes. Resolución de 11/02/2021, de la Dirección General de Medio Natural y Biodiversidad, por la que se aprueba la ocupación temporal en el monte de utilidad pública número 149 denominado la Redonda, de pertenencia del Ayuntamiento de Elche de la Sierra y sito en su término municipal, provincia de Albacete, para la instalación de una antena de telecomunicaciones, a favor de Retevisión I SAU. ID 2228. [NID 2021/2657]",2021-03-15,"Ley 43/2003, Ley 3/2008, Ley 39/2015, Decreto 485/1962, Real Decreto 1676/11494, Resolución de 11/02/2021","LEY 21/2015 ESP, LEY 3/2008 CMA, LEY 9/2018 ESP, STC 118/2017 ESP"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/03/15/pdf/2021_2656.pdf&tipo=rutaDocm"";""2021/2656"")","Montes. Resolución de 22/02/2021, de la Dirección General de Medio Natural y Biodiversidad, por la que se aprueba la ocupación temporal en el monte de utilidad pública número 163 denominado Herrada de Pozo Cano o Casa Alta, de pertenencia a la Junta de Comunidades de Castilla-La Mancha y sito en el término municipal de Hellín, provincia de Albacete, para la instalación de una LAM 20 kV S/C 3602-15 Hellín Ap-4615 al 910547, a favor de Iberdrola Distribución Eléctrica SA. ID 2119. [NID 2021/2656]",2021-03-15,"Ley 43/2003, Decreto 5/1999, Resolución de 22/02/2021, Ley 3/2008, Real Decreto 1432/2008, Decreto 485/1962, Real Decreto 1676/1984, Ley 39/2015","DEC 5/1999 CMA, LEY 21/2015 ESP, LEY 3/2008 CMA, LEY 9/2018 ESP, RD 1432/2008 ESP, RD 264/2017 ESP, STC 118/2017 ESP, STC 88/2018 ESP"
"=HIPERVINCULO(""https://docm.jccm.es/portaldocm/descargarArchivo.do?ruta=2021/03/15/pdf/2021_2661.pdf&tipo=rutaDocm"";""2021/2661"")","Instalaciones Eléctricas. Resolución de 05/03/2021, de la Delegación Provincial de Desarrollo Sostenible de Albacete, de autorización administrativa previa y autorización administrativa de construcción de instalación de energía eléctrica, emplazada en el término municipal de Villamalea. Referencia: 02211003540. [NID 2021/2661]",2021-03-15,"Ley 39/2015, Resolución de 05/03/2021, Decreto 80/2007, Decreto 34/2017",
