Item_id,Item_Title,Fecha_publicacion,Tags,Match_ASECORP_BBDD
CVE-DOGC-B-21061054-2021,"CORRECCIÓN DE ERRATAS en la Ley 9/2019, de 23 de diciembre, de modificación de la Ley 16/2017, del cambio climático, en cuanto al impuesto sobre las emisiones de dióxido de carbono de los vehículos de tracción mecánica (DOGC núm. 8032, de 30.12.2019).",04/03/2021,"Ley 9/2019, Ley 16/2017","LEY 16/2017 CAT, LEY 9/2019 CAT"
CVE-DOGC-B-21061055-2021,"ORDEN VEH/49/2021, de 1 de marzo, por la que se aprueban los criterios de ocupación de los inmuebles de uso administrativo de la Generalidad de Cataluña.",04/03/2021,"Ley 13/2008, Ley 19/2014, Ley 13/2005, Ley 39/2015, Ley 13/1989, Orden de 3 de julio de 1998, Ley 4/1985",LEY 23/2002 CAT
CVE-DOGC-B-21061058-2021,"RESOLUCIÓN INT/570/2021, de 26 de febrero, de modificación de la Resolución INT/3444/2020, de 1 de septiembre, de concesión de medallas de bronce al mérito policial con distintivo azul a varios miembros de cuerpos policiales.",04/03/2021,"Ley 39/2015, Resolución INT/3444/2020",
CVE-DOGC-B-21061059-2021,"RESOLUCIÓN INT/571/2021, de 26 de febrero, de modificación de la Resolución INT/3439/2020, de 1 de septiembre, de concesión de medallas de bronce al mérito policial con distintivo azul a varios miembros del cuerpo de Mossos d'Esquadra.",04/03/2021,"Ley 39/2015, Resolución INT/3439/2020",
CVE-DOGC-B-21061108-2021,"DECRETO 12/2021, de 2 de marzo, de la Inspección de Educación.",04/03/2021,"Ley 13/2008, Ley 26/2010, Ley 12/2009, Ley 39/2015, Ley 19/2014, Orden ENS/289/2002",
CVE-DOGC-B-21061060-2021,"RESOLUCIÓN EDU/572/2021, de 25 de febrero, por la que se modifica la Resolución EDU/772/2020, de 24 de marzo, por la que se crea el Programa de innovación pedagógica de aceleración de la transformación educativa.",04/03/2021,"Ley 26/2010, Resolución EDU/772/2020, Ley 39/2015",
CVE-DOGC-B-21061061-2021,"ORDEN SLT/48/2021, de 1 de marzo, por la que se establecen para el año 2020 los precios unitarios correspondientes a la contraprestación de los servicios llevados a cabo por los centros sociosanitarios.",04/03/2021,"Orden de 15 de mayo de 1991, Orden PRE/194/2020, Ley 15/1990, Ley 13/2008",
CVE-DOGC-B-21056014-2021,"EDICTO de 25 de febrero de 2021, sobre un acuerdo de la Comisión Territorial de Urbanismo de El Camp de Tarragona referente al municipio de Blancafort.",04/03/2021,"Ley 29/1998, Ley 2/2007, Ley 39/2015, Ley 3/2012","DLE 3/2012 CAT, LEY 14/2015 CAT, LEY 3/2012 CAT, LEY 3/2012 ESP"
CVE-DOGC-B-21062071-2021,"ACUERDO GOV/22/2021, de 2 de marzo, por el que se aprueba la modificación de los Estatutos del Instituto Ramon Muntaner, Fundación Privada de los Centros de Estudios de Habla Catalana.",04/03/2021,"Ley 13/2008, Ley 5/2017, Ley 4/2008","LEY 5/2017 CAT, ORD EMC/155/2017 CAT"
CVE-DOGC-B-21055047-2021,"RESOLUCIÓN CLT/497/2021, de 16 de febrero, por la que se da publicidad al Acuerdo del Consejo de Administración de la Oficina de Apoyo a la Iniciativa Cultural, por el que se aprueba la convocatoria en el ámbito del patrimonio cultural para la concesión de subvenciones, en régimen de concurrencia competitiva, para el inventario y la documentación de los bienes culturales que integran los museos catalanes para el año 2021 (ref. BDNS 550308).",04/03/2021,"Orden CLT/47/2014, Resolución CLT/198/2021, Resolución CLT/3216/2020, Resolución CLT/845/2019, Orden CLT/4/2013",
CVE-DOGC-B-21055048-2021,"RESOLUCIÓN CLT/498/2021, de 16 de febrero, por la que se da publicidad al Acuerdo del Consejo de Administración de la Oficina de Apoyo a la Iniciativa Cultural, por el que se aprueba la convocatoria en el ámbito de la cultura popular y el patrimonio etnológico para la concesión de subvenciones, en régimen de concurrencia competitiva, para actividades en materia de formación y de documentación relacionadas con la cultura popular y tradicional para el año 2021 (ref. BDNS 550306).",04/03/2021,"Orden CLT/47/2014, Resolución CLT/198/2021, Resolución CLT/3216/2020, Resolución CLT/1390/2019, Orden CLT/4/2013",
