Seccion,Item_Doc_Name,Fecha_publicacion,PDF_Link,Item_Title,Item_Link,Tags,Match_ASECORP_BBDD
L062,32021R0277,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0277&from=ES"";""Doc: 32021R0277"")","Reglamento Delegado (UE) 2021/277 de la Comisión, de 16 de diciembre de 2020, por el que se modifica el anexo I del Reglamento (UE) 2019/1021 del Parlamento Europeo y del Consejo, sobre contaminantes orgánicos persistentes, por lo que respecta al pentaclorofenol y sus sales y ésteres",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.062.01.0001.01.SPA&toc=OJ:L:2021:062:TOC,Reglamento (UE) 2019/1021,"REG 2019/1021 EUR, REG 2020/1203 EUR, REG 2020/1204 EUR"
L062,32021R0278,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0278&from=ES"";""Doc: 32021R0278"")","Reglamento de Ejecución (UE) 2021/278 de la Comisión, de 16 de febrero de 2021, por el que se aprueba una modificación que no es de menor importancia del pliego de condiciones de un nombre inscrito en el Registro de Denominaciones de Origen Protegidas y de Indicaciones Geográficas Protegidas [«Volaille de Bresse»/«Poulet de Bresse»/«Poularde de Bresse»/«Chapon de Bresse» (DOP)]",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.062.01.0004.01.SPA&toc=OJ:L:2021:062:TOC,,
L062,32021R0279,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0279&from=ES"";""Doc: 32021R0279"")","Reglamento de Ejecución (UE) 2021/279 de la Comisión, de 22 de febrero de 2021, por el que se establecen normas detalladas para ejecutar el Reglamento (UE) 2018/848 del Parlamento Europeo y del Consejo en lo relativo a los controles y otras medidas que garanticen la trazabilidad y el cumplimiento de lo dispuesto en materia de producción ecológica y etiquetado de los productos ecológicos",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.062.01.0006.01.SPA&toc=OJ:L:2021:062:TOC,"Reglamento (UE) 2017/625, Reglamento (UE) 2018/848","REG 2017/625 EUR, REG 2019/723 EUR"
L062,32021R0280,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0280&from=ES"";""Doc: 32021R0280"")","Reglamento de Ejecución (UE) 2021/280 de la Comisión, de 22 de febrero de 2021, por el que se modifican los Reglamentos (UE) 2015/1222, (UE) 2016/1719, (UE) 2017/2195 y (UE) 2017/1485 con el fin de adaptarlos al Reglamento (UE) 2019/943",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.062.01.0024.01.SPA&toc=OJ:L:2021:062:TOC,"Reglamento (UE) 2019/942, Reglamento (UE) 2017/1485, Reglamento (UE) 2016/1719, Reglamento (UE) 2019/943, Reglamento (UE) 2015/1222, Reglamento (UE) 2017/2195",REG 2019/943 EUR
L062,32021D0281,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0281&from=ES"";""Doc: 32021D0281"")","Decisión (Euratom) 2021/281 del Consejo, de 22 de febrero de 2021, que modifica la Decisión 2007/198/Euratom por la que se establece la Empresa Común Europea para el ITER y el desarrollo de la energía de fusión y por la que se le confieren ventajas",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.062.01.0041.01.SPA&toc=OJ:L:2021:062:TOC,Reglamento (UE) 2017/1939,
L062,32021D0282,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0282&from=ES"";""Doc: 32021D0282"")","Decisión (PESC) 2021/282 del Consejo, de 22 de febrero de 2021, que modifica la Decisión (PESC) 2018/904 del Consejo por la que se prorroga el mandato del Representante Especial de la Unión Europea para Asia Central",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.062.01.0045.01.SPA&toc=OJ:L:2021:062:TOC,,
L062,32021D0283,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0283&from=ES"";""Doc: 32021D0283"")","Decisión (PESC) 2021/283 del Consejo, de 22 de febrero de 2021, que modifica la Decisión (PESC) 2018/906 por la que se prorroga el mandato del Representante Especial de la Unión Europea para el Sahel",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.062.01.0047.01.SPA&toc=OJ:L:2021:062:TOC,,
L062,32021D0284,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0284&from=ES"";""Doc: 32021D0284"")","Decisión (PESC) 2021/284 del Consejo, de 22 de febrero de 2021, que modifica la Decisión (PESC) 2019/346 por la que se nombra al Representante Especial de la Unión Europea para los derechos humanos",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.062.01.0049.01.SPA&toc=OJ:L:2021:062:TOC,,
L062,32021D0285,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0285&from=ES"";""Doc: 32021D0285"")","Decisión (PESC) 2021/285 del Consejo, de 22 de febrero de 2021, que modifica la Decisión (PESC) 2018/907 por la que se prorroga el mandato del Representante Especial de la Unión Europea para el Cáucaso Meridional y la crisis en Georgia",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.062.01.0051.01.SPA&toc=OJ:L:2021:062:TOC,,
L062,32021D0286,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021D0286&from=ES"";""Doc: 32021D0286"")","Decisión (PESC) 2021/286 del Consejo, de 22 de febrero de 2021, que modifica la Decisión (PESC) 2018/1248 por la que se nombra al representante especial de la Unión Europea para el proceso de paz en Oriente Próximo",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.062.01.0053.01.SPA&toc=OJ:L:2021:062:TOC,,
L063,32021R0234,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0234&from=ES"";""Doc: 32021R0234"")","Reglamento Delegado (UE) 2021/234 de la Comisión, de 7 de diciembre de 2020, por el que se modifica el Reglamento Delegado (UE) 2015/2446 en lo que respecta a los requisitos comunes en materia de datos y el Reglamento Delegado (UE) 2016/341 en lo que respecta a los códigos que se habrán de utilizar en ciertos formularios",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.063.01.0001.01.SPA&toc=OJ:L:2021:063:TOC,Decisión de Ejecución (UE) 2019/2151,
L063,32021R0235,2021-02-23,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0235&from=ES"";""Doc: 32021R0235"")","Reglamento de Ejecución (UE) 2021/235 de la Comisión, de 8 de febrero de 2021, por el que se modifica el Reglamento de Ejecución (UE) 2015/2447 en lo que respecta a los formatos y códigos de los requisitos comunes en materia de datos, determinadas normas sobre vigilancia y la aduana competente para la inclusión de mercancías en un régimen aduanero",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.063.01.0386.01.SPA&toc=OJ:L:2021:063:TOC,Decisión de Ejecución (UE) 2019/2151,
