Seccion,Item_Doc_Name,Fecha_publicacion,PDF_Link,Item_Title,Item_Link,Tags,Match_ASECORP_BBDD
L074,32021R0381,2021-03-04,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0381&from=ES"";""Doc: 32021R0381"")","Reglamento de Ejecución (UE) 2021/381 de la Comisión, de 25 de febrero de 2021, por el que se inscribe un nombre en el Registro de Denominaciones de Origen Protegidas y de Indicaciones Geográficas Protegidas [«Escavèche de Chimay» (IGP)]",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.074.01.0001.01.SPA&toc=OJ:L:2021:074:TOC,,
L074,32021R0382,2021-03-04,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0382&from=ES"";""Doc: 32021R0382"")","Reglamento (UE) 2021/382 de la Comisión, de 3 de marzo de 2021, por el que se modifican los anexos del Reglamento (CE) n.",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.074.01.0003.01.SPA&toc=OJ:L:2021:074:TOC,,
L074,32021R0383,2021-03-04,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0383&from=ES"";""Doc: 32021R0383"")","Reglamento (UE) 2021/383 de la Comisión, de 3 de marzo de 2021, por el que se modifica el anexo III del Reglamento (CE) n.",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.074.01.0007.01.SPA&toc=OJ:L:2021:074:TOC,Reglamento (UE) 2019/1021,"REG 2019/1021 EUR, REG 2020/1203 EUR, REG 2020/1204 EUR"
L074,32021R0384,2021-03-04,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=CELEX:32021R0384&from=ES"";""Doc: 32021R0384"")","Reglamento de Ejecución (UE) 2021/384 de la Comisión, de 3 de marzo de 2021, sobre la adecuación de las denominaciones de las variedades de las especies de plantas agrícolas y especies hortícolas y por el que se deroga el Reglamento (CE) n.",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.074.01.0027.01.SPA&toc=OJ:L:2021:074:TOC,Reglamento (UE) 2019/787,
L074,JOL_2021_074_R_0005,2021-03-04,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:JOL_2021_074_R_0005&from=ES"";""Doc: JOL_2021_074_R_0005"")","Corrección de errores del Reglamento (UE) 2016/679 del Parlamento Europeo y del Consejo, de 27 de abril de 2016, relativo a la protección de las personas físicas en lo que respecta al tratamiento de datos personales y a la libre circulación de estos datos y por el que se deroga la Directiva 95/46/CE (Reglamento general de protección de datos) ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.074.01.0035.01.SPA&toc=OJ:L:2021:074:TOC,,
L074,JOL_2021_074_R_0013,2021-03-04,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:JOL_2021_074_R_0013&from=ES"";""Doc: JOL_2021_074_R_0013"")",Corrección de errores del Reglamento (UE) n.,https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.074.01.0039.01.SPA&toc=OJ:L:2021:074:TOC,,
L074,JOL_2021_074_R_0014,2021-03-04,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:JOL_2021_074_R_0014&from=ES"";""Doc: JOL_2021_074_R_0014"")","Corrección de errores del Reglamento (UE) 2019/37 de la Comisión, de 10 de enero de 2019, que modifica y corrige el Reglamento (UE) n.",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.074.01.0041.01.SPA&toc=OJ:L:2021:074:TOC,,
L074,JOL_2021_074_R_0015,2021-03-04,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:JOL_2021_074_R_0015&from=ES"";""Doc: JOL_2021_074_R_0015"")","Corrección de errores del Reglamento (UE) 2020/1245 de la Comisión, de 2 de septiembre de 2020, por el que se modifica y corrige el Reglamento (UE) n.",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.074.01.0042.01.SPA&toc=OJ:L:2021:074:TOC,,
L074,JOL_2021_074_R_0019,2021-03-04,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:JOL_2021_074_R_0019&from=ES"";""Doc: JOL_2021_074_R_0019"")","Corrección de errores del Reglamento de Ejecución (UE) 2021/111 de la Comisión, de 29 de enero de 2021, por el que se supedita la exportación de determinados productos a la presentación de una autorización de exportación ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.074.01.0043.01.SPA&toc=OJ:L:2021:074:TOC,,
L074,JOL_2021_074_R_0027,2021-03-04,"=HIPERVINCULO(""https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:JOL_2021_074_R_0027&from=ES"";""Doc: JOL_2021_074_R_0027"")","Corrección de errores de la Orientación del Banco Central Europeo, de 5 de diciembre de 2012, sobre el sistema automatizado transeuropeo de transferencia urgente para la liquidación bruta en tiempo real (TARGET2) (refundición) (BCE/2012/27) (2013/47/UE) ",https://eur-lex.europa.eu/legal-content/ES/AUTO/?uri=uriserv:OJ.L_.2021.074.01.0044.01.SPA&toc=OJ:L:2021:074:TOC,,
