Departamento,Epigrafe,Item_Nombre,Item_URL_XML,Seccion,Alertas,Materias
"['MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN']",['Tratados internacionales'],"['Convenio entre el Reino de España y la República de Cabo Verde para evitar la doble imposición y prevenir la evasión fiscal en materia de impuestos sobre la renta y su Protocolo, hecho en Madrid el 5 de junio de 2017.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-15389,['I. Disposiciones generales'],"['Relaciones internacionales', 'Sistema tributario']","['Acuerdos internacionales', 'Cabo Verde', 'Doble imposición', 'Impuesto sobre la Renta de las Personas Físicas', 'Impuesto sobre la Renta de los no Residentes', 'Impuesto sobre Sociedades', 'Recaudación', 'Sistema tributario']"
"['MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN']",['Acuerdos internacionales'],"['Corrección de errores del Acuerdo Administrativo estándar relativo al Fondo conjunto para la Agenda 2030: Apoyo estratégico integrado para la promoción de los ODS Fondo fiduciario de asociados múltiples por el que se prevé la gestión intermediada de los fondos, hecho en Nueva York, el 16 de abril de 2018.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-15390,['I. Disposiciones generales'],"['Asuntos sociales', 'Medio ambiente', 'Relaciones internacionales', 'Sistema financiero']","['Acuerdos internacionales', 'Ayuda al desarrollo', 'Derechos sociales', 'Fondos de dinero', 'Medio ambiente', 'Organización de las Naciones Unidas']"
"['MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN']",['Subvenciones'],"['Real Decreto 1048/2020, de 1 de diciembre, por el que se regula la concesión directa de una subvención de la Secretaría de Estado para la Unión Europea al Consejo Federal Español del Movimiento Europeo para el fomento de los valores sociales y culturales en el proceso de integración europea.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-15391,['I. Disposiciones generales'],['Unión Europea'],"['Secretaría de Estado para la Unión Europea', 'Subvenciones', 'Unión Europea']"
['MINISTERIO DE JUSTICIA'],['Nacionalidad española'],"['Real Decreto 1049/2020, de 1 de diciembre, por el que se modifica el Reglamento por el que se regula el procedimiento para la adquisición de la nacionalidad española por residencia, aprobado por el Real Decreto 1004/2015, de 6 de noviembre.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-15392,['I. Disposiciones generales'],"['Derecho Administrativo', 'Derecho Civil', 'Extranjería']","['Certificaciones', 'Extranjeros', 'Instituto Cervantes', 'Lengua Española', 'Nacionalidad', 'Procedimiento administrativo', 'Residencia']"
['MINISTERIO DE JUSTICIA'],['Demarcación y planta judicial'],"['Real Decreto 1050/2020, de 1 de diciembre, de creación de treinta y tres unidades judiciales COVID-19 correspondientes a la programación de 2020.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-15393,['I. Disposiciones generales'],['Administración de Justicia'],"['Administración de Justicia', 'Audiencia Nacional', 'Audiencias Provinciales', 'Demarcación judicial', 'Epidemias', 'Juzgados de lo Contencioso Administrativo', 'Juzgados de lo Mercantil', 'Juzgados de lo Social', 'Juzgados de Primera Instancia', 'Juzgados de Primera Instancia e Instrucción']"
['MINISTERIO DE DEFENSA'],['Fuerzas Armadas'],"['Real Decreto 1051/2020, de 1 de diciembre, por el que se aprueba el Reglamento de ordenación de la enseñanza de formación en las Fuerzas Armadas.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-15394,['I. Disposiciones generales'],"['Educación y enseñanza', 'Seguridad y Defensa']","['Academias militares', 'Centros de enseñanza', 'Ejército de Tierra', 'Ejército del Aire', 'Enseñanza Militar', 'Formación profesional', 'Fuerzas Armadas', 'Marina de Guerra']"
"['MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA']",['Estado de alarma. Ayudas'],"['Orden TMA/1134/2020, de 30 de noviembre, por la que se modifican los plazos para solicitar y formalizar los préstamos avalados y subvencionados por el Estado establecidos en la Orden TMA/378/2020, de 30 de abril, por la que se definen los criterios y requisitos de los arrendatarios de vivienda habitual que pueden acceder a las ayudas transitorias de financiación establecidas en el artículo 9 del Real Decreto-ley 11/2020, de 31 de marzo, por el que se adoptan medidas urgentes complementarias en el ámbito social y económico para hacer frente al COVID-19.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-15395,['I. Disposiciones generales'],"['Derecho Administrativo', 'Derecho Mercantil', 'Sistema financiero', 'Vivienda y urbanismo']","['Arrendamientos urbanos', 'Aval', 'Ayudas', 'Entidades de crédito', 'Instituto de Crédito Oficial', 'Préstamos', 'Procedimiento administrativo', 'Subvenciones']"
"['MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO']",['Subvenciones'],"['Real Decreto 1052/2020, de 1 de diciembre, por el que se regula la concesión directa de diversas subvenciones en materia comercial.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-15396,['I. Disposiciones generales'],['Comercio'],"['Canarias', 'Comercio exterior', 'Comunidades Autónomas', 'Fundaciones estatales', 'Ministerio de Industria Comercio y Turismo', 'Subvenciones']"
"['MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA']",['Fuerzas Armadas'],"['Real Decreto 1053/2020, de 1 de diciembre, por el que se modifica el Reglamento de retribuciones del personal de las Fuerzas Armadas, aprobado por el Real Decreto 1314/2005, de 4 de noviembre.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-15397,['I. Disposiciones generales'],"['Función Pública', 'Seguridad y Defensa']","['Fuerzas Armadas', 'Pensiones', 'Retribuciones']"
"['MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA']",['Subvenciones'],"['Real Decreto 1054/2020, de 1 de diciembre, por el que se regula la concesión directa de una subvención al Obispado de Plasencia para el mantenimiento del monasterio de San Jerónimo de Yuste.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-15398,['I. Disposiciones generales'],['Cultura y ocio'],"['Cáceres', 'Consejo de Administración del Patrimonio Nacional', 'Monumentos y Conjuntos Histórico Artísticos', 'Subvenciones']"
