Departamento,Epigrafe,Item_Nombre,Item_URL_XML,Seccion,Alertas,Materias
"['MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN']",['Acuerdos internacionales'],"['Acuerdo de Seguridad entre el Reino de España y el Gobierno de la República de Sudáfrica sobre protección de información clasificada intercambiada en el marco de la cooperación en materia de defensa, hecho en Madrid el 4 de octubre de 2017.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-517,['I. Disposiciones generales'],,
['MINISTERIO DE HACIENDA'],['Procedimientos tributarios'],"['Orden HAC/5/2021, de 13 de enero, por la que se extiende el plazo de domiciliación correspondiente a la presentación de determinadas declaraciones y autoliquidaciones tributarias.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-518,['I. Disposiciones generales'],,
['MINISTERIO DE HACIENDA'],['Organización'],"['Resolución de 13 de enero de 2021, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se establece la estructura y organización territorial de la Agencia Estatal de Administración Tributaria.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-519,['I. Disposiciones generales'],,
"['MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA']",['Cuerpo de la Guardia Civil'],"['Orden PCM/6/2021, de 11 de enero, por la que se regulan para la Guardia Civil las normas de la organización y funcionamiento de sus centros docentes de formación y el régimen de su alumnado, y los requisitos generales y las condiciones del ejercicio del profesorado en sus centros docentes.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-520,['I. Disposiciones generales'],,
"['MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA']",['Ordenación de pagos'],"['Orden PCM/7/2021, de 11 de enero, por la que se modifica la Orden PRE/1576/2002, de 19 de junio, por la que se regula el procedimiento para el pago de obligaciones de la Administración General del Estado.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-521,['I. Disposiciones generales'],,
"['MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA']",['Organización'],"['Orden PCM/8/2021, de 11 de enero, por la que se crea la Comisión Mixta para las Servidumbres Acústicas y el Plan de Acción del Aeropuerto de A Coruña.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-522,['I. Disposiciones generales'],,
"['MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA']",['Organización'],"['Orden PCM/9/2021, de 11 de enero, por la que se crea la Comisión Mixta para las Servidumbres Acústicas y el Plan de Acción del Aeropuerto de Fuerteventura.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-523,['I. Disposiciones generales'],,
"['MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA']",['Organización'],"['Orden PCM/10/2021, de 11 de enero, por la que se modifica la Orden PRA/1081/2017, de 8 de noviembre, por la que se crea el órgano administrativo encargado de la ejecución del programa de apoyo a la celebración del acontecimiento de excepcional interés público ""Programa de preparación de los deportistas españoles de los Juegos de Tokio 2020"".']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-524,['I. Disposiciones generales'],,
"['MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES']",['Servicios públicos. Acceso electrónico'],"['Orden ISM/11/2021, de 12 de enero, por la que se crea y regula la Sede Electrónica Central del Ministerio de Inclusión, Seguridad Social y Migraciones.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-525,['I. Disposiciones generales'],,
['COMUNIDAD FORAL DE NAVARRA'],['Medio ambiente'],"['Ley Foral 17/2020, de 16 de diciembre, reguladora de las Actividades con Incidencia Ambiental.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-526,['I. Disposiciones generales'],,
['COMUNIDAD FORAL DE NAVARRA'],['Medidas económicas'],"['Ley Foral 18/2020, de 16 de diciembre, sobre medidas a favor del arraigo empresarial y contra la deslocalización empresarial.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-527,['I. Disposiciones generales'],,
['COMUNIDAD FORAL DE NAVARRA'],['Turismo'],"['Ley Foral 19/2020, de 16 de diciembre, de modificación de la Ley Foral 7/2003, de 14 de febrero, de Turismo de Navarra.']",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2021-528,['I. Disposiciones generales'],,
