User,Freq
3goffice,1
PropertyQuants,2
CapsuleCorpStd,4
Okapi_AI,4
ccim,3
AOProptech,5
RentechApp,2
rentalscaleup,1
iLeads,26
allthings_here,2
HabiteoES,1
SocialSMktg,12
Konii_de,1
NAIOhioEquities,1
buildingminds_,2
LiveTheModaLife,2
OsborneClarke,1
CambridgeDrone,1
PrinexRE,1
GoSpaceAI,1
Mallcommapp,7
alfredodam,6
TechEstate_Tech,3
CMToday_Mag,1
PropertyDanH,11
Le_Partenaire,2
propmodo,17
salonrent,10
BullpenConsult,1
365connect,8
NuovitHomes,1
UKProptech,19
NewFinServ,5
Sonneilhomes,2
PocketBuildings,4
housingtech,4
GeoPhy,3
fotocasa,1
housfy_es,3
karinecoeur,3
natalie_record,1
RealtyNXT,4
WalterStrametz,2
CarlosPierretri,3
ChrisPincher,17
RobertJenrick,6
blocksquare_io,6
ConnectedWMag,2
res902,1
RealEstate_Mx,1
fifthwallvc,12
UPropTech,1
BrendanFWallace,3
andres_leal7,13
carlosblanco,21
CREMattSD,2
jmwass,4
PropChallenge,19
thingssandy,3
NRLAssociation,2
realquantumapp,2
walkaboutco,13
nobul,7
MetaPropNYC,6
antgrasso,90
unitee_io,6
kraln,1
sofialocks,3
david_bernabeu,11
Mountxcanada,1
NAIGlobal,1
PropertyRadar,1
BehrTech,1
ProptechLatam,2
joinajar,7
EllaRosenberg8,1
MoneyWeighted,2
getmyre,2
fortworthchris,3
simon_chopin,2
caba_news,1
insigniavc,8
dzschwaben,1
MESTAfrica,3
hosman_co,2
NHSProperty,3
VUCITY_,1
LocateeCH,1
zoop_one,1
DashflowApp,5
taichi_health,3
LMREPropTech,3
CaroleQuentric,2
Proptech_Cap,1
Legal4Landlords,3
ClimateTrade,1
TheNewsFunnel,7
ricardcastellet,2
TaitPlanning,19
sensative,2
modifai4,2
aequius,7
bproperty_com,1
realbobbybryant,10
TriariiLatam,6
propviz,1
realfundtokens,6
denbizjournal,1
JLLAustralia,1
BRSW_Paris,1
RiseBuildings,1
SuziLDavis,2
HarvardBiz,9
CR_Advisory,1
BBCNews,1
iovus_uk,1
contxto_,2
Go_IoT,2
AECTechTV,8
Pi_Labs,11
BeemmoFr,12
ziggcap,1
_Valimmo,3
fcivitillo,3
tigre_wenrich,2
owenboswarva,25
leclozr,1
tbinnovates,1
Sykosch,2
ProntoPiso,1
ia,1
Re2bit1,12
ffjoustra,6
PropTechJapan,22
SocialDesignCr1,1
SesoGlobal,4
Plentific,3
narreach,1
PropertyWire,2
AlifRealty,6
DalaiLama,2
across_magazine,1
hyresgasterna,7
HandeBerktan,1
agenersurrell,8
DrBeyerle,1
katiebindley,1
joakimbaage,1
urbanitae,1
TonsTweetings,62
enricomolinari,3
BurakCendek,1
aarnih,1
YBFVentures,1
Valcre,1
BuildProptech,2
shadowventures,4
PropertyTV_io,3
RENXca,14
ArnaudZ1,1
marley,4
workforthem,1
WorkRemoteFT,1
MorinoMarie,2
FintechNewsHK,6
ITjob8,1
FintechCH,4
prop_tech,4
RestoreYork,1
Allsopp_Allsopp,1
albertogaruccio,1
smsspeedway,2
FukuharaSatoshi,1
ItalianProptech,1
hackernoon,1
ColProptech,4
FinnovatingHub,1
goodwinlaw,1
StackDevJobs,2
drkierachapman,11
Fishergate_Sch,1
piersmorgan,1
NuukaSolutions,5
REveoApp,1
noticiasCDT,1
google_partner,3
Dave_Mullen_,2
Mashroomcom,2
fintech_germany,6
nihsingapore,3
TrustMeBlockChn,1
chrispevans1,1
mietwise,1
FintechFor,1
thelandsite,1
AppElyssa,1
startuprad_io,5
OpenpathSec,5
techopiaOTT,3
venbona_Deutsch,1
robynbeavers,10
Afisem_Nantes,5
REach_GB,2
housingprogram,1
ElieFinegold,1
brlaron,3
Propertyshe,1
posizionarte,2
DasInkling,1
unissu_global,2
ines_stre,1
ConstrumatBCN,1
DAVID1GIBBON,4
Welmo_fr,1
martynziegler,1
rialtestech,1
axeleo,1
jasonwhutcheson,1
europlace,1
dataloftuk,1
Kelltontech,2
The_Depositary,1
KristjanByfield,10
bod_tech,1
bnppre,4
TopUpConsultant,1
PEXA_AUSTRALIA,1
1min30,2
PortalWatch,1
ZWave_Alliance,1
3DCityScapes,1
RealFoundations,1
PropTechBIZ,4
latechdubtp,2
YorkRLA,2
arla_uk,1
askdossnow,3
btrnews247,2
DeepLearn007,1
HlynurGudjons,2
IcelandinNY,2
CPExecutive,1
GetFlowPath,1
CoFlatMate,6
conkers3,1
SmartConnectPR,1
dribbblejobs,1
MinutHQ,1
CharlesWarnock,1
InteractiveVid2,1
workinstartups,3
businesslondon,1
SpectreSoftware,2
getxspaced,4
biconnections,5
shunn_sakurai,3
rentprofile,5
trdny,4
proptechvc,2
ProptechList,2
allenandbrooks,2
Paris_Seine_,1
Alastria_,3
IoneRueteBBC,1
reeseys,2
fabienprevots,1
PlanetSmartCity,2
StartingUp_Mag,2
PEREonline,1
_futureproperty,2
MxndCorp,5
BCO_NextGen,1
archilyse,5
DiscoverCREtech,1
mark_forrester,2
propertyme,1
VidaImobiliaria,1
ryan_tcw,2
annademyre,1
sensorberg,1
aareal,3
forochatiberoa1,1
benliao,1
syncaroo_com,1
JoinCoadjute,4
MichaelBleby,2
magnus_s,1
PropertyJungle,1
AlicanteOpen,5
mapzot,4
sareb,5
EnvelopeTech,2
MacConvilles,1
gregrobertson,1
eventstet,4
InvestorIdeas,2
PrimeResi,1
RentRovi,1
afriqueitnews,1
euratechnologie,1
KeylivingCAN,1
EweMoveBeverley,2
theC100,5
godroneup,1
RISMediaUpdates,1
"ixflo ""We were delighted to have our MD Rajeev Nayyar appear on the Block Management Network podcast this week… https",1
uSeeHomes,3
inviertis,3
naashonomics,1
MMWorkplace,1
ElReferente,1
UKTNofficial,1
BLeaderNews,1
PropertyJourn,2
QwerteeI,1
MeFintech,1
ElvinBox,1
PropTech_BG,1
YourOwnROOM,2
REALCOMMtweet,4
BrigadeReap,6
Erik_is_online,1
altusgroup,1
KerfuffleClub,3
AntBuckleyThorp,6
CREmobile,1
mglamarca,1
Totalview_media,3
Asociacion_DEC,1
VanessaAlvarez1,3
Xbond49,1
CHAOSarchitects,1
enertiv,1
Venn_Innovation,1
AmySprift,1
SpriftProperty,1
SkylineConf,1
AssettiSW,1
CityofYork,1
Prologis,2
TheNeg,2
VecoByEurolink,1
asdweek,1
atlantio,1
TCW_01,3
Steph_PBCToday,1
ShiCooks,2
METR_BMS,1
inspectapp,1
LatamProptech,1
Julienwatry,1
gemassmer,1
OmoGbajaBiamila,4
MartinGednyEMEA,4
Datafloq,1
CityAM,3
KeesmanMatthijs,2
WUExAC,1
NodeCo,1
LandlordBB,1
Camber_Creek,3
propster_,1
mgrullonh,1
ApartmentWire,1
TheCXApp,1
joinlane,1
TheEighthDoor,1
rigbinoba,2
michaeldacosta,1
Pontos_Group,1
