User,Freq
ProptechLatam,8
UKProptech,34
chidambara09,9
MlleSocialMedia,1
loveyourassets,1
cbreproptech,1
Jill_Powers,2
ColProptech,11
PocketBuildings,6
iRestify,5
AdamStuartOkapi,1
ScottBrownrigg,1
Infabode,4
jane__eden,1
AOProptech,7
Okapi_AI,2
botnowa,5
PropertyQuants,2
iLeads,16
forochatiberoa1,3
fcivitillo,12
aequius,38
C365_Cloud,1
MPizarro_,1
RentalsUnited,1
amr63729210,2
a_wende_HH,1
Property_News_,6
CMSPeople,1
JohnRHamilton2,2
govindrai80,1
Dilliotto,1
HabiteoES,1
Farhad12587643,1
proptechuk,4
elizamatei2,1
LMREPropTech,3
Plentific,4
Pi_Labs,6
framence_gmbh,3
buildingminds_,5
UPropTech,3
ProptechList,26
JohnFulton85,2
AroundCbus,1
itbizcz,1
KyleMacIsaac4,1
tarci1986,1
JmuellerIoT,1
ProptechE,2
MicrosoftRTweet,1
Makaka92663426,1
openboxsoftware,3
massrealty,1
Legal_BoldGroup,1
PropChallenge,10
SFBusinessTimes,5
placetech,3
PropIndEye,1
ProptechSwiss,19
NoelGroves1,14
CambridgeDrone,1
Lwazi47849467,1
tubeee5,1
proptechpr,1
OsborneClarke,1
gbomagazine,1
ivnosys,1
iglaguna,1
workessence,1
cretech,76
exclusively_nu,1
JdDone,2
alfredsmarts,1
keezag,8
Mike_Empirelpm,2
Dinoatwork,1
AssettiSW,7
ToolboxChloe,2
NormetteH,3
METR_BMS,2
TechEstate_Tech,13
Alexand87491347,1
TLJSecuritySyst,1
ffjoustra,11
TheCommBot,1
aDolphinCries,1
ITjob8,9
TelecomsBus,1
CapsuleCorpStd,3
JLLThailand,1
GoSpaceAI,1
llaborde91,2
Le_Partenaire,2
LiveTheModaLife,1
SmartViewing,2
CMToday_Mag,6
Spaceflowapp,1
IanHammar,1
SSCARELLA,4
Anonymo09662257,1
RentechApp,2
DoreseKhun,1
buddli,1
Moneycab,1
100_sizu,1
Nadden77151719,2
Frances78746637,1
THInsight1,1
InvestSofia,1
fotocasa,2
ProptechFinder,2
Mallcommapp,5
giveagradago,1
NuovitHomes,1
territoriobtc,3
hghConsulting,1
timdolanARGUS,1
MominAnil,1
salonrent,3
ModhumitaSarka3,1
Shaun15296447,2
Jitubis90133701,2
MichelleKillor1,2
trump786,1
mapzot,8
CisionNews,3
Khalid20ahmad,1
DAVID1GIBBON,2
maltbyps,2
tidningenitf,2
PropertyDanH,8
RenCredit_IR,5
ramalamadindon,1
NewFinServ,5
mkovarski,1
TheNeg,5
OrchardSystems,1
Sonneilhomes,5
mushman1970,1
RitikaG69283079,1
PortalWatch,4
photoilikecom,2
3goffice,1
Keyclicweb,1
quasagroup,2
nilskok,1
MRISoftwareAPAC,5
housingtech,8
skeighley,1
Konii_de,7
bitstonecap,1
clooperapp,1
RentRovi,2
OPS_Property,1
property_whore,1
EelpTex,7
Benny_Badger,1
allthings_here,1
AgingWith,1
infoparcelle,3
NeufSmart,1
JessInBlue,2
Qobrix_,2
Minervites,1
HappyProd1,1
sensative,5
aging_freedom,1
Primaimmo,1
kritikasrawat25,4
SARBLAB3,3
BidX1_ES,5
landlord123my,2
Linde_Verlag,2
retransform,1
PrinexRE,1
the_4dma,1
AlvaroCordobaM,1
Dave301958,1
bat_tui,1
HBuzyCazaux,2
SarahJa28484793,1
northessexnotes,1
techtrendingnow,4
RealtyNXT,5
LatamProptech,8
andres_leal7,13
PropertyTV_io,7
jthalassites,1
GreatIndoor,1
SocialSMktg,6
blocksquare_io,5
brlaron,1
PrasanthSR,1
blackstembot,3
fcarnevale,1
GRDecter,1
LuxuryDistricts,17
jaypalter,1
oneitoc,1
PropertyRaptor,4
TriariiLatam,11
greentechdon,7
FedeVarela19,1
SirCryptos,1
MGG_2012,4
KeithAuten,1
Go_Zego,5
EngageByDR,3
REveoApp,6
PubKevin,1
VitoCarrozzo,1
jmwass,3
Fabriciosx,10
thingssandy,9
RealEstate_Mx,1
aprslo,3
chrishunter2501,1
motifpm,1
_InsertSpace,1
connectedremag,5
ViafirmaAmerica,2
shortthought,1
RobertJenrick,1
CaitlinHafferty,1
PropTech_Europe,46
PointCentral,5
Andy_S_PropTech,15
DanWCraig,2
TrilogyNetworks,1
svbizjournal,3
walkaboutco,5
WeAreVTS,2
FrancoFaraudo,1
GranCanetR,1
Picante_Media,1
MeliberoCom,14
realquantumapp,2
theBrokerList,1
Datakwip,1
davidsrose,1
resaas,1
propmodo,6
srinaldi,2
uliseflorida,1
JordiCidR,1
MegGarabrant,1
_amitm,1
CREMattSD,1
BrendanFWallace,3
NorthStarYork,1
NAIOP_Phila,1
b6realestate,1
Jamrat_,1
prop_tech,7
JillMero,3
tophapinc,2
Cribsee1,1
BoPs_Digital,1
res902,1
GSJVENT,2
TGemignani,1
ruthamat,1
GilesBarrie,4
KlausFreiberg,1
HassanBani7,1
eAnkitPandey,3
ConnectedWMag,1
nobul,3
MatuscakSheila,1
monicao54978685,1
LAC_investments,1
loicdeffains,2
karinecoeur,2
unitee_io,7
1DavidClarke,1
guygal,1
gwladys_rabe,1
LockCarlos,3
natalie_record,1
FaisalButt_,5
agiordano_,1
Vertalo_,1
Mountxcanada,1
InmofisPalma,1
iotproptech,4
mikeymoo,1
ParansSolarLigh,2
savvy_lane,4
OFImmo,1
BehrTech,6
Bradley_Greiwe,1
DanMohamed,1
snapdocs,3
fifthwallvc,6
LivingRoom_immo,1
Valcre,2
PropertyRadar,2
BeaLouis75,2
HoneyBadgerz_,1
rcole312,1
Vivoaquatics,1
SimonBIM,1
AnaBusteloT,1
passivelogic,1
Ben_Everitt,1
mhclg,1
foxtrotwriting,1
lettingproperty,3
gill_plan,1
bidibuild,2
BuildProptech,1
AlQallaf_92,3
datasciencebot_,1
tuxmontero,1
NAIGlobal,1
antonyantoniou,10
ccim,1
gdewerpe,1
GeoPhy,1
enertiv,2
rentmoola,1
WelcomeWork,1
EddieHughes4WN,1
ChrisPincher,1
annademyre,7
getmyre,2
theFORTpodcast,1
fortworthchris,2
standardaccess,4
MinutHQ,3
iotvishal,2
mattfowler,2
dmlevitt,1
aaronnblock,1
GoVirtualUK,2
citiboxES,2
yinglantan,1
DiscoverCREtech,7
planstack_de,2
dzschwaben,1
PixelPondLife,1
kraln,1
alfredodam,2
Womenadvocacyn2,1
sofialocks,3
PropertyJungle,5
simon_chopin,1
Adarajas_es,2
housfy_es,2
ksioushaaa,1
EstatesGazette,1
iamtheagent1,1
MonBuilding,1
fmMidEast,1
SusanSwaffer,1
jupiterorbit,1
UpBizor,1
urbanitae,3
MoneyWeighted,2
CREmobile,2
twinview_,1
MayoInfografia,1
PRTIMES_TECH,1
empinmobiliaria,1
eltonmark,1
hosman_co,1
liaionita1,1
SteveMarc_,1
AsbjoernErdal,1
LovelyLisaBaker,1
PRTIMES_APP,1
DidacLee,2
VcTrainings,1
david_bernabeu,3
alMunaikh,2
alfaruqstories,1
MESTAfrica,2
mjserranillos77,1
iptops_com_news,1
AlexMarriner,1
BritBIM,3
paujoqs,1
PRTIMES_STUP,1
roizotorrijos,1
insigniavc,9
joinajar,4
pinhome_id,1
zoop_one,1
PZbros7,5
