Mentioned,Freq
3goffice,1
re_leased,1
ing,1
propertyquants,2
capsulecorpstd,4
okapi_ai,4
ccim,3
tradegovuk,1
chinabritain,1
aoproptech,12
leadoomt,1
rentechapp,2
rentalscaleup,1
expediagroup,1
vrbo,1
ileads,26
allthings_here,2
habiteoes,1
socialsmktg,12
beinsomniacs,1
wearebeam,1
konii_de,1
buildingminds_,4
jmuelleriot,5
thenode5,1
roomokay,1
cohebergement,1
wattamate,1
naiohioequities,1
pi_labs,19
timmlatimer,1
thestinkmarket,1
newmark,1
livethemodalife,2
osborneclarke,1
oc_conrad,2
dickinslouisa,4
lmreproptech,8
intervalfilms,2
getaprao,5
accucities,2
cambridgedrone,1
prinexre,1
gospaceai,1
mallcommapp,9
alfredodam,7
thelunicorn,1
techestate_tech,15
kasaliving,2
airbnb,2
smartrentdotcom,4
cmtoday_mag,1
propertydanh,11
chrispincher,22
maltbyps,5
joannaaverley,5
le_partenaire,2
propmodo,25
salonrent,10
blogimmo,2
bullpenconsult,1
tariqadi,1
adidevelopments,1
365connect,8
nuovithomes,1
fotocasa,3
ukproptech,27
fifthwallvc,36
concretevctech,6
mapzot,11
newfinserv,5
sonneilhomes,2
grancanetr,2
pocketbuildings,4
housingtech,4
orchardsystems,3
apiwork,1
geophy,7
steerpath,1
identifiedtech,1
buildingintel,1
mauricegrassau,2
architrave_gmbh,2
housfy_es,14
karinecoeur,3
natalie_record,1
realtynxt,5
walterstrametz,2
retransform,1
realcommtweet,6
carlospierretri,6
jesusencinar,7
idealista,7
robertjenrick,6
blocksquare_io,6
blocksquare,6
connectedwmag,2
res902,1
realestate_mx,1
triariilatam,13
snapdocs,12
reach_au,1
builtworldcom,2
wearevts,12
nickromito,8
uproptech,1
brendanfwallace,7
colproptech,6
colombiafintech,2
andres_leal7,16
spotify,3
carlosblanco,24
lavanguardia,5
finteca,7
prohipotecas,7
nucliovb,7
cremattsd,2
thebrokerlist,3
massimogroup,3
edisoncre,3
azprninja,3
daniellefhaney,3
natalie_cre10x,3
flanncasey,3
keithauten,3
retailbroker,2
jmwass,4
pubkevin,2
irrvrntvc,1
jamesdearsley,5
propchallenge,19
darlenepopewe,3
connectedremag,12
rebny,11
davidsrose,5
thingssandy,3
nrlassociation,2
realquantumapp,2
walkaboutco,13
winningtactics,2
nobul,7
jll,2
expresso,1
bpiexpressoimo,1
banco_bpi,1
metapropnyc,13
guygal,3
side_realestate,3
b6realestate,1
antgrasso,91
unitee_io,10
hbuzycazaux,4
fortworthchris,5
aaronnblock,6
zacharyaarons,6
kraln,1
1davidclarke,2
leclozr,5
sofialocks,3
david_bernabeu,11
expansioncom,22
citiboxes,10
mountxcanada,1
naiglobal,1
berkadia,1
transwestern,1
armaninollp,1
newmarkkf,1
claconnect,1
propertyradar,1
behrtech,1
proptechlatam,8
fvazquezmedem,3
notorightmove,2
rightmove,2
openbrix,2
onthemarketcom,2
zoopla,2
lettingschris,1
joinajar,7
ellarosenberg8,1
unissu_global,12
moneyweighted,2
passivelogic,2
procoreowners,1
urcsi,1
nicolasbeuvaden,1
getmyre,7
simon_chopin,2
badi,3
caba_news,1
insigniavc,8
dzschwaben,1
planstack_de,2
letsbidproperty,1
nowrentingcom,1
departiculares,1
thinkspain,1
mestafrica,3
alzatejuanc1,4
hosman_co,2
spencerrascoff,1
zillowgroup,1
pacasohomes,2
estatesgazette,3
cnous_lescrous,1
nhsproperty,3
kasazcom,2
diegobestard,2
vucity_,1
