User,Freq
thelandsite,6
ShelliTrung,4
Infabode,15
josepjorge,4
AppartMaisonCOM,3
Julienwatry,9
AgenciaMdi,8
JeanMarc_Reca,1
crowdwithus,3
OFImmo,4
Mike_Empirelpm,16
PropertyDanH,33
landlord123my,8
consortia_eric,12
GlenFrost,1
immoweek,7
cybcath,2
infoparcelle,7
EstateBadger,6
VTUK,7
whiterabbites,1
Gesvalt,16
BrainsreNews,6
rocioruizsa,6
FundsnewsBM,1
PBImmoweek,7
Sonneilhomes,9
Space4Europe,5
spanishproptech,45
BaboonLab,1
annademyre,37
bolsamania,1
RevistaMetros2,1
aequius,34
ProptechList,101
CBarelles,7
invemed,1
Adn_Realty,1
housingtech,31
BIDXONE,2
EAToday,8
DataAugmented,7
allthings_here,4
INSPIRE__YOUNG,1
VicinityLiving,1
Mallcommapp,24
EelpTex,24
cretech,236
propacity_re,1
Adarajas_es,3
investortoday,2
AssettiSW,17
cbreproptech,5
UKProptech,198
Official_black0,1
EURO_FUNDING,1
Ch_E_Hughes,2
Andy_S_PropTech,2
antonyslumbers,8
HF_Today,8
Qobrix_,8
Proptech_Cap,18
InversionMadrid,1
StudyUCEM,4
finance_commu,1
EjePrime,4
tabogacn,1
prhbrown,1
REDFoundation_,4
AdsDulantoScott,1
Negocioinmo,2
SmartViewing,3
circulogalicia,4
ToolboxChloe,4
ABondiguel,1
ESAbusinessapps,6
rodelflordeliz,1
Architrave_GmbH,4
BritBIM,10
GaleoImmo,4
ElReferente,4
PropertyVoiceUK,2
AOProptech,28
AFoatelli,1
CBRE_ES,4
realfundtokens,7
smonicats,9
Inmoclip,2
businessimmo,3
FrontDoorEst,1
josegarciacabal,4
sandradaza_ds,6
faichelbaum,1
stu73,2
chidambara09,49
thijsvieleers,1
viviendea,13
Neil_BIM,2
QualisFlow,1
JustRetail_news,1
dezrezsoftware,7
mcaramesperez,1
MoneyCompass1,1
offr_property,9
Realproptech,11
PrinexRE,9
HomesellerEs,5
BremenStartups,1
territoriobtc,2
bathbadger,4
AsocFeriasEsp,1
abbattprop,1
AlHayyatGroup,1
aurelienjh,1
URW_LAB,2
AreaHQ_,1
