Word,Freq
estatesit:,2
rt,7
@thelandsite:,2
uk's,8
property,137
network,7
platform,52
sourcing,5
information,17
expertise,4
area,8
nationwide.,5
fi…,2
reach_au:,1
join,62
"@shellitrung,",1
managing,8
partner,12
"@terri_nova,",1
"director,",3
@reach_gb’s,1
director,20
@builtworlds’,1
2020,80
digital,177
global,19
summ…,1
ukproptech:,33
excited,29
announce,42
@infabode,2
official,6
category,6
sponsor,13
'proptech,5
investor,9
year',4
award,25
15:30,1
"18:00,",1
protagonistas,1
@rebuildexpo.,1
https://t.co/ul2r0nlnvw,1
https://t.co/5d1rfdkd8h,1
h,6
wall,16
mise,5
proptech,594
européenne,4
article,49
réservé,1
&amp;#8230;,1
https://t.co/xiyxpwah2p,1
&amp;#8211;,1
https://t.co/75gcejl5rr,1
régions,1
l’on,1
(encore),1
louer,1
logement,2
prix,2
https://t.co/x98wpza4xh,1
https://t.co/uqstllhgpl,1
ores,1
inteligentes,1
espacio,7
oficina,1
creditos:,4
@proptech_es,1
https://t.co/kkzm1pcu18,1
roptech,5
kaliz,2
lève,4
"2,3",2
millions,13
d'euros,2
numériser,2
gestion,5
locative.,1
https://t.co/h5tc6jzu4z,1
w,5
product,17
claims,8
help,55
agents,60
generate,3
nurture,1
leads,23
even,16
sleep.…,1
https://t.co/zpfhsrrivb,1
unitee_io:,7
🎙,2
speakers,8
//,8
découvrez,11
1/2,1
gaëlle,1
"aubrée,",1
dga,1
"@monemprunt,",1
administratrice,1
@ff2iorg,1
pauline,1
h…,16
l'immobilier,13
recrute,2
!,83
devenez,1
négociateur,1
immobilier,4
partager,2
l'inf…,1
https://t.co/zfjr3ixbvi,1
ting,8
young,10
–,62
student,9
launches,21
platform...,3
today,56
https://t.co/ucdssyp6cs,2
rstanding,2
value,9
"has,",1
will,96
continue,4
undergo,1
major,9
change,8
data,74
becomes,3
readily,1
available.…,1
https://t.co/shlhnrxd5l,1
d-19,2
hit,3
everybody,1
hard.,1
compassion,1
goes,4
long,4
"way,",2
every,8
little,5
bit,2
helps.,1
landlords,8
tenants,10
shou…,1
https://t.co/dojourrvoc,1
"ndancies,",4
furlough,5
cash,6
hunters,5
recover,5
https://t.co/xigiqxzymi,1
austfintech:,1
5th,2
annual,3
australian,3
fintech,28
awards,9
announced,9
https://t.co/9lvpw9fzei,1
@glenfrost,1
tech,147
"ventures,",6
fonds,15
venture,22
capital,32
dédié,5
"@bnpparibas,",4
devient,4
l’un,4
investisseurs,4
major…,1
https://t.co/aphbjs9ltz,1
liance,1
@fifthwallvc,14
@bnppre_fr,3
permettre,3
l'essor,3
d'une,3
européenne.,3
"lire,…",1
https://t.co/cn8ykydwhj,1
cybcath:,2
💡📲alliance,2
"lire,",2
l'interview…,2
https://t.co/vbvycnskxw,1
stevedawkins888:,2
delighted,30
another,12
software,22
@vtuk,8
joining,12
"@joincoadjute,",8
making,29
majority,9
o…,32
ransformación,1
tecnológica,2
hace,3
años,4
llegó,1
sector,69
inmobiliario,19
bajo,1
nombre,1
gustavo,3
l…,12
https://t.co/vmduwdwukp,1
ienza,1
encuentro,5
@circulogalicia!,3
listos,3
jornada,11
presencial,3
online,29
terce…,1
https://t.co/mupxj1k0cx,1
ra,2
invierte,3
proptech:,7
entra,9
primer,9
fondo,7
europeo,6
especializado,5
fifth,24
|,100
vía,13
@brainsrenews,7
https://t.co/qnxptsp05n,1
https://t.co/uatws6cov4,1
https://t.co/rmsge5wzhw,2
immoweek:,3
opera,3
majoritaires,3
da…,5
webinar:,5
tot,1
12,10
uur!,1
natuur,1
zeebries,1
aan,1
wie,8
wil,1
er,8
nou,1
niet,1
bij,1
one,52
residences,1
w…,10
https://t.co/xrmrt1kq0w,1
huge,14
amongst,6
last,50
implement,2
technological,5
🏘️,3
sharing,25
assets,4
in…,11
https://t.co/xqds9rpzrn,1
spanish,36
newspaper!,14
https://t.co/hbzszwhlao,1
thanks,72
@onedome,2
@joincoadjute,4
@abockelm,1
ponencia,1
juan,3
velayos,8
jv20,1
investment,56
advisory,3
",",24
sugerente,1
título:,1
‘proptech:,1
¿humo,1
f…,27
https://t.co/vfgw9u250l,1
ina,1
promoción,8
mezcla,1
dar,2
es…,1
https://t.co/v9qtwwdshk,1
fundsnewsbm:,1
¿qué,5
xone,1
logrado,2
vender,4
200,2
propiedades,3
34,2
millones,6
euros,4
año,4
https://t.co/aaqmavn64i,2
https://t.co/avgdzu4b0k,1
nmobiliario,1
convivido,1
excesivamente,1
innovación.,1
"local,",1
"regulado,",1
https://t.co/o35fq0ijnn,1
s,18
begin,1
onsite,1
new,164
luxury,13
beeston,1
development,18
https://t.co/jsdoosnlae,1
https://t.co/y2bcz2pwyk,1
5,83
profiles,40
search,5
real,257
estate,215
tag:,11
"@findproperly,",1
"@homegain,",1
"@hey_pillow,",1
"@equityapartment,…",1
https://t.co/my9kpjg1i7,1
gesvalt:,14
¡comienza,2
tercera,5
edición…,2
navarrotarrega:,1
https://t.co/rjwrrrkckz,1
d’euros,2
locative,5
https://t.co/ohhohgfuah,1
"co_limited,",1
leader,6
fire,1
co,4
detection,3
"systems,",1
bought,1
"@homelync,",1
award-winning,2
‘smart,1
home’,1
inte…,1
https://t.co/fac10uo6s2,1
revistametros2:,1
@bidxone,1
htt…,8
algún,1
sentido,3
trabajando,3
plataformas,2
coordinadas,1
sigamos,1
haciéndolo,1
manera,4
m…,8
https://t.co/oaolepqg7z,1
https://t.co/gqybtvlka4,1
edición,9
evento,22
organizado,11
