user,followers,sum_reach,avg_followers,favourite_count,avg_favorite,favorite_per_user,retweet_count,avg_retweet,retweet_per_user
metapropnyc,6533,14066891,2153.21,12532,2.33,1.92,10024,1.86,1.53
ralexjimenez,13996,74076823,5292.71,1202,0.01,0.09,1076653,9.59,76.93
discovercretech,9239,15853317,1715.91,4852,0.41,0.53,4831,0.41,0.52
antgrasso,165007,8760243,53.09,98932,2.43,0.6,92505,2.28,0.56
innomads,495,1466024,2961.66,479,2.87,0.97,519,3.11,1.05
propmodo,7176,13649796,1902.15,7715,1.95,1.08,109641,27.78,15.28
alfredodam,1570,4260930,2713.97,5163,0.46,3.29,421651,37.77,268.57
idealista,61508,10309343,167.61,8639,0.24,0.14,5819,0.16,0.09
antonyslumbers,9093,46212359,5082.19,7359,0.09,0.81,175755,2.17,19.33
proptechoutlook,130,94470,726.69,67,0.77,0.52,27,0.31,0.21
_futureproperty,8036,48606328,6048.57,4872,1.25,0.61,133358,34.14,16.6
propertydanh,14703,70407907,4788.68,11524,1.37,0.78,60685,7.22,4.13
